town,year,month,tmean_c,grid_lat,grid_lon
lahat,2007,4,26.83,-3.75,103.75
muaradua,2007,4,25.18,-4.75,104.25
liwa,2007,4,25.22,-5.25,104.25
kepahiang,2007,4,23.5,-3.75,102.75
pagar_alam,2007,5,22.49,-4.25,103.25
lahat,2007,5,26.92,-3.75,103.75
muaradua,2007,5,25.1,-4.75,104.25
liwa,2007,5,25.08,-5.25,104.25
kepahiang,2007,5,23.71,-3.75,102.75
pagar_alam,2007,6,22.23,-4.25,103.25
lahat,2007,6,26.55,-3.75,103.75
muaradua,2007,6,24.62,-4.75,104.25
liwa,2007,6,24.57,-5.25,104.25
kepahiang,2007,6,23.3,-3.75,102.75
pagar_alam,2007,7,22.07,-4.25,103.25
lahat,2007,7,26.18,-3.75,103.75
muaradua,2007,7,24.54,-4.75,104.25
liwa,2007,7,24.6,-5.25,104.25
kepahiang,2007,7,22.92,-3.75,102.75
pagar_alam,2007,8,21.85,-4.25,103.25
lahat,2007,8,25.88,-3.75,103.75
muaradua,2007,8,24.1,-4.75,104.25
liwa,2007,8,24.12,-5.25,104.25
kepahiang,2007,8,22.52,-3.75,102.75
pagar_alam,2007,9,21.86,-4.25,103.25
lahat,2007,9,26.29,-3.75,103.75
muaradua,2007,9,24.67,-4.75,104.25
liwa,2007,9,24.69,-5.25,104.25
kepahiang,2007,9,22.65,-3.75,102.75
pagar_alam,2007,10,22.33,-4.25,103.25
lahat,2007,10,26.81,-3.75,103.75
muaradua,2007,10,25.1,-4.75,104.25
liwa,2007,10,25.12,-5.25,104.25
kepahiang,2007,10,23.25,-3.75,102.75
pagar_alam,2007,11,22.15,-4.25,103.25
lahat,2007,11,26.53,-3.75,103.75
muaradua,2007,11,24.94,-4.75,104.25
liwa,2007,11,25.02,-5.25,104.25
kepahiang,2007,11,23.0,-3.75,102.75
pagar_alam,2007,12,21.79,-4.25,103.25
lahat,2007,12,26.08,-3.75,103.75
muaradua,2007,12,24.29,-4.75,104.25
liwa,2007,12,24.31,-5.25,104.25
kepahiang,2007,12,22.78,-3.75,102.75
pagar_alam,2008,1,22.27,-4.25,103.25
lahat,2008,1,26.51,-3.75,103.75
muaradua,2008,1,24.91,-4.75,104.25
liwa,2008,1,25.02,-5.25,104.25
kepahiang,2008,1,23.44,-3.75,102.75
pagar_alam,2008,2,21.76,-4.25,103.25
lahat,2008,2,26.14,-3.75,103.75
