town,date,precip_mm,grid_lat,grid_lon
lahat,2005-01-26,0.201,-3.75,103.75
muaradua,2005-01-26,1.024,-4.75,104.25
liwa,2005-01-26,2.193,-5.25,104.25
kepahiang,2005-01-26,0.028,-3.75,102.75
pagar_alam,2005-01-27,0.0,-4.25,103.25
lahat,2005-01-27,0.0,-3.75,103.75
muaradua,2005-01-27,0.075,-4.75,104.25
liwa,2005-01-27,0.024,-5.25,104.25
kepahiang,2005-01-27,0.0,-3.75,102.75
pagar_alam,2005-01-28,7.567,-4.25,103.25
lahat,2005-01-28,17.138,-3.75,103.75
muaradua,2005-01-28,7.403,-4.75,104.25
liwa,2005-01-28,4.81,-5.25,104.25
kepahiang,2005-01-28,6.376,-3.75,102.75
pagar_alam,2005-01-29,17.181,-4.25,103.25
lahat,2005-01-29,12.041,-3.75,103.75
muaradua,2005-01-29,2.078,-4.75,104.25
liwa,2005-01-29,0.622,-5.25,104.25
kepahiang,2005-01-29,18.65,-3.75,102.75
pagar_alam,2005-01-30,15.918,-4.25,103.25
lahat,2005-01-30,15.491,-3.75,103.75
muaradua,2005-01-30,48.24,-4.75,104.25
liwa,2005-01-30,53.749,-5.25,104.25
kepahiang,2005-01-30,12.603,-3.75,102.75
pagar_alam,2005-01-31,0.524,-4.25,103.25
lahat,2005-01-31,0.319,-3.75,103.75
muaradua,2005-01-31,0.753,-4.75,104.25
liwa,2005-01-31,1.567,-5.25,104.25
kepahiang,2005-01-31,0.512,-3.75,102.75
pagar_alam,2005-02-01,10.725,-4.25,103.25
lahat,2005-02-01,16.257,-3.75,103.75
muaradua,2005-02-01,3.119,-4.75,104.25
liwa,2005-02-01,1.7,-5.25,104.25
kepahiang,2005-02-01,10.686,-3.75,102.75
pagar_alam,2005-02-02,0.997,-4.25,103.25
lahat,2005-02-02,1.207,-3.75,103.75
muaradua,2005-02-02,0.955,-4.75,104.25
liwa,2005-02-02,1.497,-5.25,104.25
kepahiang,2005-02-02,1.123,-3.75,102.75
pagar_alam,2005-02-03,0.443,-4.25,103.25
lahat,2005-02-03,0.663,-3.75,103.75
muaradua,2005-02-03,6.941,-4.75,104.25
liwa,2005-02-03,10.222,-5.25,104.25
kepahiang,2005-02-03,0.205,-3.75,102.75
pagar_alam,2005-02-04,0.262,-4.25,103.25
lahat,2005-02-04,0.286,-3.75,103.75
muaradua,2005-02-04,1.664,-4.75,104.25
liwa,2005-02-04,1.944,-5.25,104.25
kepahiang,2005-02-04,0.029,-3.75,102.75
pagar_alam,2005-02-05,1.575,-4.25,103.25
lahat,2005-02-05,8.971,-3.75,103.75
