year,anomaly_pct,season,oni,phase,strength,country,series,value,yoy_pct
2011,-3.056,2010,-1.600,La Nina,strong,Indonesia,Area bearing,1.150,-1.288
2012,0.106,2011,-1.000,La Nina,moderate,Indonesia,Area bearing,1.180,2.609
2013,1.480,2012,-0.600,neutral,,Indonesia,Area bearing,1.200,1.695
2014,0.418,2013,-0.500,neutral,,Indonesia,Area bearing,1.200,0.000
2015,0.000,2014,1.000,El Nino,moderate,Indonesia,Area bearing,1.200,0.000
2016,0.000,2015,2.300,El Nino,very strong,Indonesia,Area bearing,1.200,0.000
2017,0.000,2016,-1.000,La Nina,moderate,Indonesia,Area bearing,1.200,0.000
2018,0.000,2017,-1.100,La Nina,moderate,Indonesia,Area bearing,1.200,0.000
2019,0.000,2018,0.800,El Nino,weak,Indonesia,Area bearing,1.200,0.000
2020,0.000,2019,-0.700,La Nina,weak,Indonesia,Area bearing,1.200,0.000
2021,0.000,2020,-1.500,La Nina,strong,Indonesia,Area bearing,1.200,0.000
2022,0.000,2021,-1.300,La Nina,moderate,Indonesia,Area bearing,1.200,0.000
2023,0.000,2022,-1.100,La Nina,moderate,Indonesia,Area bearing,1.200,0.000
2024,0.000,2023,1.400,El Nino,moderate,Indonesia,Area bearing,1.200,0.000
2005,-12.723,2004,0.700,El Nino,weak,Indonesia,Area total,1.875,-5.063
2006,4.887,2005,-0.900,La Nina,weak,Indonesia,Area total,2.200,17.333
2007,2.657,2006,0.900,El Nino,weak,Indonesia,Area total,2.270,3.182
2008,-3.404,2007,-1.600,La Nina,strong,Indonesia,Area total,2.270,0.000
2009,6.724,2008,-1.000,La Nina,moderate,Indonesia,Area total,2.500,10.132
2010,1.419,2009,1.500,El Nino,strong,Indonesia,Area total,2.430,-2.800
2011,-1.840,2010,-1.600,La Nina,strong,Indonesia,Area total,2.400,-1.235
2012,-0.495,2011,-1.000,La Nina,moderate,Indonesia,Area total,2.414,0.583
2013,0.537,2012,-0.600,neutral,,Indonesia,Area total,2.436,0.911
2014,0.226,2013,-0.500,neutral,,Indonesia,Area total,2.438,0.082
2015,-0.041,2014,1.000,El Nino,moderate,Indonesia,Area total,2.440,0.082
2016,-0.184,2015,2.300,El Nino,very strong,Indonesia,Area total,2.440,0.000
2017,0.204,2016,-1.000,La Nina,moderate,Indonesia,Area total,2.450,0.410
2018,0.102,2017,-1.100,La Nina,moderate,Indonesia,Area total,2.450,0.000
2019,0.000,2018,0.800,El Nino,weak,Indonesia,Area total,2.450,0.000
2020,0.000,2019,-0.700,La Nina,weak,Indonesia,Area total,2.450,0.000
2021,0.000,2020,-1.500,La Nina,strong,Indonesia,Area total,2.450,0.000
2022,0.000,2021,-1.300,La Nina,moderate,Indonesia,Area total,2.450,0.000
2023,0.000,2022,-1.100,La Nina,moderate,Indonesia,Area total,2.450,0.000
2024,0.000,2023,1.400,El Nino,moderate,Indonesia,Area total,2.450,0.000
2005,31.882,2004,0.700,El Nino,weak,Indonesia,Yield (production / bearing area),11.454,25.390
2006,-14.005,2005,-0.900,La Nina,weak,Indonesia,Yield (production / bearing area),8.500,-25.793
2007,-14.138,2006,0.900,El Nino,weak,Indonesia,Yield (production / bearing area),8.421,-0.928
2008,25.033,2007,-1.600,La Nina,strong,Indonesia,Yield (production / bearing area),10.526,24.999
2009,2.432,2008,-1.000,La Nina,moderate,Indonesia,Yield (production / bearing area),8.750,-16.875
2010,-12.470,2009,1.500,El Nino,strong,Indonesia,Yield (production / bearing area),8.004,-8.522
2011,-21.455,2010,-1.600,La Nina,strong,Indonesia,Yield (production / bearing area),7.217,-9.831
2012,19.122,2011,-1.000,La Nina,moderate,Indonesia,Yield (production / bearing area),10.085,39.728
2013,9.849,2012,-0.600,neutral,,Indonesia,Yield (production / bearing area),9.917,-1.666
2014,-10.324,2013,-0.500,neutral,,Indonesia,Yield (production / bearing area),8.725,-12.017
2015,11.597,2014,1.000,El Nino,moderate,Indonesia,Yield (production / bearing area),10.083,15.568
2016,-2.686,2015,2.300,El Nino,very strong,Indonesia,Yield (production / bearing area),8.833,-12.397
2017,-5.454,2016,-1.000,La Nina,moderate,Indonesia,Yield (production / bearing area),8.667,-1.886
2018,-0.001,2017,-1.100,La Nina,moderate,Indonesia,Yield (production / bearing area),8.833,1.922
2019,1.230,2018,0.800,El Nino,weak,Indonesia,Yield (production / bearing area),8.917,0.944
2020,0.517,2019,-0.700,La Nina,weak,Indonesia,Yield (production / bearing area),8.917,0.000
2021,5.143,2020,-1.500,La Nina,strong,Indonesia,Yield (production / bearing area),8.817,-1.121
2022,6.653,2021,-1.300,La Nina,moderate,Indonesia,Yield (production / bearing area),8.917,1.134
2023,-26.494,2022,-1.100,La Nina,moderate,Indonesia,Yield (production / bearing area),6.792,-23.832
2024,2.819,2023,1.400,El Nino,moderate,Indonesia,Yield (production / bearing area),8.917,31.288
1996,-10.489,1995,-1.000,La Nina,moderate,Vietnam,Production Robusta,5450.000,39.744
1997,0.105,1996,-0.500,neutral,,Vietnam,Production Robusta,6933.000,27.211
1998,-24.765,1997,2.400,El Nino,very strong,Vietnam,Production Robusta,7433.000,7.212
1999,2.377,1998,-1.600,La Nina,strong,Vietnam,Production Robusta,10920.000,46.912
2000,56.851,1999,-1.700,La Nina,strong,Vietnam,Production Robusta,16216.000,48.498
2001,-8.432,2000,-0.700,La Nina,weak,Vietnam,Production Robusta,12084.000,-25.481
2002,-23.592,2001,-0.300,neutral,,Vietnam,Production Robusta,10917.000,-9.657
2003,17.127,2002,1.300,El Nino,moderate,Vietnam,Production Robusta,14734.000,34.964
2004,-5.288,2003,0.400,neutral,,Vietnam,Production Robusta,14117.000,-4.188
2005,-21.840,2004,0.700,El Nino,weak,Vietnam,Production Robusta,13200.000,-6.496
2006,32.337,2005,-0.900,La Nina,weak,Vietnam,Production Robusta,20770.000,57.348
2007,3.139,2006,0.900,El Nino,weak,Vietnam,Production Robusta,17933.000,-13.659
2008,-7.278,2007,-1.600,La Nina,strong,Vietnam,Production Robusta,17529.000,-2.253
2009,-9.216,2008,-1.000,La Nina,moderate,Vietnam,Production Robusta,18050.000,2.972
2010,-12.632,2009,1.500,El Nino,strong,Vietnam,Production Robusta,18867.000,4.526
2011,10.557,2010,-1.600,La Nina,strong,Vietnam,Production Robusta,25200.000,33.567
2012,3.356,2011,-1.000,La Nina,moderate,Vietnam,Production Robusta,25600.000,1.587
2013,9.194,2012,-0.600,neutral,,Vietnam,Production Robusta,28658.000,11.945
2014,-2.125,2013,-0.500,neutral,,Vietnam,Production Robusta,26350.000,-8.054
2015,2.239,2014,1.000,El Nino,moderate,Vietnam,Production Robusta,27830.000,5.617
2016,-8.400,2015,2.300,El Nino,very strong,Vietnam,Production Robusta,25600.000,-8.013
2017,0.115,2016,-1.000,La Nina,moderate,Vietnam,Production Robusta,28274.000,10.445
2018,4.656,2017,-1.100,La Nina,moderate,Vietnam,Production Robusta,29336.000,3.756
2019,4.012,2018,0.800,El Nino,weak,Vietnam,Production Robusta,30200.000,2.945
2020,-4.361,2019,-0.700,La Nina,weak,Vietnam,Production Robusta,28050.000,-7.119
2021,8.760,2020,-1.500,La Nina,strong,Vietnam,Production Robusta,30480.000,8.663
2022,-3.431,2021,-1.300,La Nina,moderate,Vietnam,Production Robusta,27300.000,-10.433
2023,-8.669,2022,-1.100,La Nina,moderate,Vietnam,Production Robusta,26550.000,-2.747
2024,-0.415,2023,1.400,El Nino,moderate,Vietnam,Production Robusta,28000.000,5.461
1996,-10.409,1995,-1.000,La Nina,moderate,Vietnam,Production Total,5500.000,40.414
1997,0.261,1996,-0.500,neutral,,Vietnam,Production Total,7000.000,27.273
1998,-24.704,1997,2.400,El Nino,very strong,Vietnam,Production Total,7500.000,7.143
1999,2.221,1998,-1.600,La Nina,strong,Vietnam,Production Total,11010.000,46.800
2000,55.823,1999,-1.700,La Nina,strong,Vietnam,Production Total,16333.000,48.347
2001,-8.428,2000,-0.700,La Nina,weak,Vietnam,Production Total,12250.000,-24.998
2002,-23.096,2001,-0.300,neutral,,Vietnam,Production Total,11167.000,-8.841
2003,16.693,2002,1.300,El Nino,moderate,Vietnam,Production Total,15000.000,34.324
2004,-4.110,2003,0.400,neutral,,Vietnam,Production Total,14500.000,-3.333
2005,-21.342,2004,0.700,El Nino,weak,Vietnam,Production Total,13500.000,-6.897
2006,29.427,2005,-0.900,La Nina,weak,Vietnam,Production Total,20819.000,54.215
2007,3.535,2006,0.900,El Nino,weak,Vietnam,Production Total,18333.000,-11.941
2008,-6.591,2007,-1.600,La Nina,strong,Vietnam,Production Total,18009.000,-1.767
2009,-9.545,2008,-1.000,La Nina,moderate,Vietnam,Production Total,18500.000,2.726
2010,-12.517,2009,1.500,El Nino,strong,Vietnam,Production Total,19467.000,5.227
2011,10.286,2010,-1.600,La Nina,strong,Vietnam,Production Total,26000.000,33.559
2012,3.213,2011,-1.000,La Nina,moderate,Vietnam,Production Total,26500.000,1.923
2013,9.650,2012,-0.600,neutral,,Vietnam,Production Total,29833.000,12.577
2014,-2.111,2013,-0.500,neutral,,Vietnam,Production Total,27400.000,-8.155
2015,2.196,2014,1.000,El Nino,moderate,Vietnam,Production Total,28930.000,5.584
2016,-7.955,2015,2.300,El Nino,very strong,Vietnam,Production Total,26700.000,-7.708
2017,-0.111,2016,-1.000,La Nina,moderate,Vietnam,Production Total,29300.000,9.738
2018,4.557,2017,-1.100,La Nina,moderate,Vietnam,Production Total,30400.000,3.754
2019,4.090,2018,0.800,El Nino,weak,Vietnam,Production Total,31300.000,2.961
2020,-4.511,2019,-0.700,La Nina,weak,Vietnam,Production Total,29000.000,-7.348
2021,8.850,2020,-1.500,La Nina,strong,Vietnam,Production Total,31580.000,8.897
2022,-3.779,2021,-1.300,La Nina,moderate,Vietnam,Production Total,28200.000,-10.703
2023,-8.608,2022,-1.100,La Nina,moderate,Vietnam,Production Total,27550.000,-2.305
2024,-0.172,2023,1.400,El Nino,moderate,Vietnam,Production Total,29100.000,5.626
1996,-13.014,1995,-1.000,La Nina,moderate,Vietnam,Area total,254.000,36.559
1997,8.800,1996,-0.500,neutral,,Vietnam,Area total,340.000,33.858
1998,-13.259,1997,2.400,El Nino,very strong,Vietnam,Area total,350.000,2.941
1999,2.793,1998,-1.600,La Nina,strong,Vietnam,Area total,460.000,31.429
2000,19.786,1999,-1.700,La Nina,strong,Vietnam,Area total,560.000,21.739
2001,5.366,2000,-0.700,La Nina,weak,Vietnam,Area total,540.000,-3.571
2002,-1.422,2001,-0.300,neutral,,Vietnam,Area total,520.000,-3.704
2003,-0.730,2002,1.300,El Nino,moderate,Vietnam,Area total,510.000,-1.923
2004,-1.961,2003,0.400,neutral,,Vietnam,Area total,500.000,-1.961
2005,-3.320,2004,0.700,El Nino,weak,Vietnam,Area total,495.000,-1.000
2006,0.537,2005,-0.900,La Nina,weak,Vietnam,Area total,515.000,4.040
2007,0.722,2006,0.900,El Nino,weak,Vietnam,Area total,523.000,1.553
2008,-0.979,2007,-1.600,La Nina,strong,Vietnam,Area total,531.000,1.530
2009,-4.328,2008,-1.000,La Nina,moderate,Vietnam,Area total,536.000,0.942
2010,-2.601,2009,1.500,El Nino,strong,Vietnam,Area total,571.000,6.530
2011,1.860,2010,-1.600,La Nina,strong,Vietnam,Area total,616.000,7.881
2015,5.835,2014,1.000,El Nino,moderate,Vietnam,Area total,662.000,7.468
2016,-0.952,2015,2.300,El Nino,very strong,Vietnam,Area total,650.000,-1.813
2017,-0.894,2016,-1.000,La Nina,moderate,Vietnam,Area total,665.000,2.308
2018,0.962,2017,-1.100,La Nina,moderate,Vietnam,Area total,682.000,2.556
2019,0.364,2018,0.800,El Nino,weak,Vietnam,Area total,690.000,1.173
2020,0.000,2019,-0.700,La Nina,weak,Vietnam,Area total,697.000,1.014
2021,0.427,2020,-1.500,La Nina,strong,Vietnam,Area total,706.000,1.291
2022,0.247,2021,-1.300,La Nina,moderate,Vietnam,Area total,710.000,0.567
2023,-0.035,2022,-1.100,La Nina,moderate,Vietnam,Area total,715.000,0.704
2024,-0.464,2023,1.400,El Nino,moderate,Vietnam,Area total,715.000,0.000
1996,-3.438,1995,-1.000,La Nina,moderate,Vietnam,Area bearing,206.000,106.000
1997,15.385,1996,-0.500,neutral,,Vietnam,Area bearing,270.000,31.068
1998,-16.019,1997,2.400,El Nino,very strong,Vietnam,Area bearing,270.000,0.000
1999,-1.370,1998,-1.600,La Nina,strong,Vietnam,Area bearing,360.000,33.333
2000,11.801,1999,-1.700,La Nina,strong,Vietnam,Area bearing,450.000,25.000
2001,3.297,2000,-0.700,La Nina,weak,Vietnam,Area bearing,470.000,4.444
2002,6.527,2001,-0.300,neutral,,Vietnam,Area bearing,510.000,8.511
2003,2.041,2002,1.300,El Nino,moderate,Vietnam,Area bearing,500.000,-1.961
2004,-0.503,2003,0.400,neutral,,Vietnam,Area bearing,495.000,-1.000
2005,-2.020,2004,0.700,El Nino,weak,Vietnam,Area bearing,485.000,-2.020
2006,0.508,2005,-0.900,La Nina,weak,Vietnam,Area bearing,495.000,2.062
2007,-1.210,2006,0.900,El Nino,weak,Vietnam,Area bearing,490.000,-1.010
2008,-6.235,2007,-1.600,La Nina,strong,Vietnam,Area bearing,500.000,2.041
2009,-12.325,2008,-1.000,La Nina,moderate,Vietnam,Area bearing,504.000,0.800
2012,10.350,2011,-1.000,La Nina,moderate,Vietnam,Area bearing,644.000,27.778
2013,10.669,2012,-0.600,neutral,,Vietnam,Area bearing,665.400,3.323
2014,6.128,2013,-0.500,neutral,,Vietnam,Area bearing,665.000,-0.060
2016,-6.860,2015,2.300,El Nino,very strong,Vietnam,Area bearing,592.000,-10.977
2017,-2.576,2016,-1.000,La Nina,moderate,Vietnam,Area bearing,605.000,2.196
2018,-0.369,2017,-1.100,La Nina,moderate,Vietnam,Area bearing,607.000,0.331
2019,1.142,2018,0.800,El Nino,weak,Vietnam,Area bearing,620.000,2.142
2020,0.875,2019,-0.700,La Nina,weak,Vietnam,Area bearing,620.000,0.000
2021,0.690,2020,-1.500,La Nina,strong,Vietnam,Area bearing,620.000,0.000
2022,-0.831,2021,-1.300,La Nina,moderate,Vietnam,Area bearing,611.500,-1.371
2023,-1.240,2022,-1.100,La Nina,moderate,Vietnam,Area bearing,611.500,0.000
2024,-0.442,2023,1.400,El Nino,moderate,Vietnam,Area bearing,615.000,0.572
2004,-13.015,2003,0.400,neutral,,Vietnam,Yield,1.760,-2.222
2005,-19.332,2004,0.700,El Nino,weak,Vietnam,Yield,1.690,-3.977
2006,31.465,2005,-0.900,La Nina,weak,Vietnam,Yield,2.580,52.663
2007,5.164,2006,0.900,El Nino,weak,Vietnam,Yield,2.240,-13.178
2008,-4.950,2007,-1.600,La Nina,strong,Vietnam,Yield,2.160,-3.571
2009,-7.317,2008,-1.000,La Nina,moderate,Vietnam,Yield,2.090,-3.241
2010,-4.803,2009,1.500,El Nino,strong,Vietnam,Yield,2.180,4.306
2011,3.499,2010,-1.600,La Nina,strong,Vietnam,Yield,2.440,11.927
2012,0.611,2011,-1.000,La Nina,moderate,Vietnam,Yield,2.470,1.230
2013,7.171,2012,-0.600,neutral,,Vietnam,Yield,2.690,8.907
2014,-3.182,2013,-0.500,neutral,,Vietnam,Yield,2.510,-6.691
2015,-0.851,2014,1.000,El Nino,moderate,Vietnam,Yield,2.620,4.382
2016,-4.163,2015,2.300,El Nino,very strong,Vietnam,Yield,2.590,-1.145
2017,0.816,2016,-1.000,La Nina,moderate,Vietnam,Yield,2.780,7.336
2018,5.455,2017,-1.100,La Nina,moderate,Vietnam,Yield,2.900,4.317
2019,2.998,2018,0.800,El Nino,weak,Vietnam,Yield,2.920,0.690
2020,-5.328,2019,-0.700,La Nina,weak,Vietnam,Yield,2.710,-7.192
2021,6.691,2020,-1.500,La Nina,strong,Vietnam,Yield,2.950,8.856
2022,-3.770,2021,-1.300,La Nina,moderate,Vietnam,Yield,2.680,-9.153
2023,-2.309,2022,-1.100,La Nina,moderate,Vietnam,Yield,2.750,2.612
2024,-1.681,2023,1.400,El Nino,moderate,Vietnam,Yield,2.730,-0.727
1999,8.458,1999,-1.700,La Nina,strong,Uganda,Production Arabica,436.000,0.000
2000,-18.250,2000,-0.700,La Nina,weak,Uganda,Production Arabica,355.000,-18.578
2001,-5.949,2001,-0.300,neutral,,Uganda,Production Arabica,415.000,16.901
2002,-2.121,2002,1.300,El Nino,moderate,Uganda,Production Arabica,450.000,8.434
2003,2.998,2003,0.400,neutral,,Uganda,Production Arabica,524.000,16.444
2004,0.092,2004,0.700,El Nino,weak,Uganda,Production Arabica,545.000,4.008
2005,15.955,2005,-0.900,La Nina,weak,Uganda,Production Arabica,625.000,14.679
2006,-0.515,2006,0.900,El Nino,weak,Uganda,Production Arabica,579.000,-7.360
2007,-23.952,2007,-1.600,La Nina,strong,Uganda,Production Arabica,508.000,-12.263
2008,2.001,2008,-1.000,La Nina,moderate,Uganda,Production Arabica,650.000,27.953
2009,22.226,2009,1.500,El Nino,strong,Uganda,Production Arabica,818.000,25.846
2010,-18.040,2010,-1.600,La Nina,strong,Uganda,Production Arabica,644.000,-21.271
2011,12.468,2011,-1.000,La Nina,moderate,Uganda,Production Arabica,875.000,35.870
2012,0.978,2012,-0.600,neutral,,Uganda,Production Arabica,800.000,-8.571
2013,-0.730,2013,-0.500,neutral,,Uganda,Production Arabica,850.000,6.250
2014,-13.514,2014,1.000,El Nino,moderate,Uganda,Production Arabica,800.000,-5.882
2015,-3.797,2015,2.300,El Nino,very strong,Uganda,Production Arabica,950.000,18.750
2016,10.000,2016,-1.000,La Nina,moderate,Uganda,Production Arabica,1100.000,15.789
2017,16.364,2017,-1.100,La Nina,moderate,Uganda,Production Arabica,1200.000,9.091
2018,3.576,2018,0.800,El Nino,weak,Uganda,Production Arabica,1050.000,-12.500
2019,3.275,2019,-0.700,La Nina,weak,Uganda,Production Arabica,1025.000,-2.381
2020,-27.990,2020,-1.500,La Nina,strong,Uganda,Production Arabica,730.000,-28.780
2021,5.741,2021,-1.300,La Nina,moderate,Uganda,Production Arabica,990.000,35.616
2022,5.600,2022,-1.100,La Nina,moderate,Uganda,Production Arabica,990.000,0.000
2023,-3.148,2023,1.400,El Nino,moderate,Uganda,Production Arabica,1000.000,1.010
2024,-0.643,2024,-1.100,La Nina,moderate,Uganda,Production Arabica,1030.000,3.000
1999,11.596,1999,-1.700,La Nina,strong,Uganda,Production Robusta,3272.000,2.122
2000,-5.708,2000,-0.700,La Nina,weak,Uganda,Production Robusta,2742.000,-16.198
2001,8.149,2001,-0.300,neutral,,Uganda,Production Robusta,2850.000,3.939
2002,-7.408,2002,1.300,El Nino,moderate,Uganda,Production Robusta,2306.000,-19.088
2003,0.327,2003,0.400,neutral,,Uganda,Production Robusta,2221.000,-3.686
2004,2.297,2004,0.700,El Nino,weak,Uganda,Production Robusta,2149.000,-3.242
2005,-35.937,2005,-0.900,La Nina,weak,Uganda,Production Robusta,1550.000,-27.873
2006,0.140,2006,0.900,El Nino,weak,Uganda,Production Robusta,2326.000,50.065
2007,39.705,2007,-1.600,La Nina,strong,Uganda,Production Robusta,2982.000,28.203
2008,5.157,2008,-1.000,La Nina,moderate,Uganda,Production Robusta,2610.000,-12.475
2009,-20.772,2009,1.500,El Nino,strong,Uganda,Production Robusta,2052.000,-21.379
2010,6.313,2010,-1.600,La Nina,strong,Uganda,Production Robusta,2568.000,25.146
2011,-15.547,2011,-1.000,La Nina,moderate,Uganda,Production Robusta,2200.000,-14.330
2012,6.993,2012,-0.600,neutral,,Uganda,Production Robusta,2800.000,27.273
2013,16.505,2013,-0.500,neutral,,Uganda,Production Robusta,3000.000,7.143
2014,-11.294,2014,1.000,El Nino,moderate,Uganda,Production Robusta,2700.000,-10.000
2015,-19.223,2015,2.300,El Nino,very strong,Uganda,Production Robusta,2600.000,-3.704
2016,22.764,2016,-1.000,La Nina,moderate,Uganda,Production Robusta,3775.000,45.192
2017,-5.719,2017,-1.100,La Nina,moderate,Uganda,Production Robusta,3400.000,-9.934
2018,-17.832,2018,0.800,El Nino,weak,Uganda,Production Robusta,3600.000,5.882
2019,-0.891,2019,-0.700,La Nina,weak,Uganda,Production Robusta,4450.000,23.611
2020,26.305,2020,-1.500,La Nina,strong,Uganda,Production Robusta,5900.000,32.584
2021,-5.088,2021,-1.300,La Nina,moderate,Uganda,Production Robusta,5060.000,-14.237
2022,1.226,2022,-1.100,La Nina,moderate,Uganda,Production Robusta,5575.000,10.178
2023,-3.052,2023,1.400,El Nino,moderate,Uganda,Production Robusta,5400.000,-3.139
2024,0.354,2024,-1.100,La Nina,moderate,Uganda,Production Robusta,5670.000,5.000
1999,11.218,1999,-1.700,La Nina,strong,Uganda,Production Total,3708.000,1.868
2000,-7.338,2000,-0.700,La Nina,weak,Uganda,Production Total,3097.000,-16.478
2001,6.127,2001,-0.300,neutral,,Uganda,Production Total,3265.000,5.425
2002,-6.584,2002,1.300,El Nino,moderate,Uganda,Production Total,2756.000,-15.590
2003,0.826,2003,0.400,neutral,,Uganda,Production Total,2745.000,-0.399
2004,1.843,2004,0.700,El Nino,weak,Uganda,Production Total,2694.000,-1.858
2005,-26.483,2005,-0.900,La Nina,weak,Uganda,Production Total,2175.000,-19.265
2006,0.009,2006,0.900,El Nino,weak,Uganda,Production Total,2905.000,33.563
2007,24.532,2007,-1.600,La Nina,strong,Uganda,Production Total,3490.000,20.138
2008,4.512,2008,-1.000,La Nina,moderate,Uganda,Production Total,3260.000,-6.590
2009,-11.943,2009,1.500,El Nino,strong,Uganda,Production Total,2870.000,-11.963
2010,0.336,2010,-1.600,La Nina,strong,Uganda,Production Total,3212.000,11.916
2011,-9.104,2011,-1.000,La Nina,moderate,Uganda,Production Total,3075.000,-4.265
2012,5.595,2012,-0.600,neutral,,Uganda,Production Total,3600.000,17.073
2013,12.204,2013,-0.500,neutral,,Uganda,Production Total,3850.000,6.944
2014,-11.811,2014,1.000,El Nino,moderate,Uganda,Production Total,3500.000,-9.091
2015,-15.602,2015,2.300,El Nino,very strong,Uganda,Production Total,3550.000,1.429
2016,19.632,2016,-1.000,La Nina,moderate,Uganda,Production Total,4875.000,37.324
2017,-0.809,2017,-1.100,La Nina,moderate,Uganda,Production Total,4600.000,-5.641
2018,-13.809,2018,0.800,El Nino,weak,Uganda,Production Total,4650.000,1.087
2019,-0.137,2019,-0.700,La Nina,weak,Uganda,Production Total,5475.000,17.742
2020,16.623,2020,-1.500,La Nina,strong,Uganda,Production Total,6630.000,21.096
2021,-3.470,2021,-1.300,La Nina,moderate,Uganda,Production Total,6050.000,-8.748
2022,1.862,2022,-1.100,La Nina,moderate,Uganda,Production Total,6565.000,8.512
2023,-3.067,2023,1.400,El Nino,moderate,Uganda,Production Total,6400.000,-2.513
2024,0.199,2024,-1.100,La Nina,moderate,Uganda,Production Total,6700.000,4.688
2009,-6.297,2009,1.500,El Nino,strong,Uganda,Area total,248.000,5.085
2010,-5.882,2010,-1.600,La Nina,strong,Uganda,Area total,260.000,4.839
2011,0.931,2011,-1.000,La Nina,moderate,Uganda,Area total,298.000,14.615
2012,2.621,2012,-0.600,neutral,,Uganda,Area total,323.000,8.389
2013,5.740,2013,-0.500,neutral,,Uganda,Area total,350.000,8.359
2014,1.813,2014,1.000,El Nino,moderate,Uganda,Area total,351.000,0.286
2015,-0.142,2015,2.300,El Nino,very strong,Uganda,Area total,352.000,0.285
2017,-12.485,2017,-1.100,La Nina,moderate,Uganda,Area total,354.000,0.568
2018,-22.234,2018,0.800,El Nino,weak,Uganda,Area total,355.000,0.282
2019,22.471,2019,-0.700,La Nina,weak,Uganda,Area total,560.000,57.746
2020,9.804,2020,-1.500,La Nina,strong,Uganda,Area total,560.000,0.000
2021,-1.104,2021,-1.300,La Nina,moderate,Uganda,Area total,560.000,0.000
2022,-0.877,2022,-1.100,La Nina,moderate,Uganda,Area total,565.000,0.893
2023,1.089,2023,1.400,El Nino,moderate,Uganda,Area total,580.000,2.655
2024,0.288,2024,-1.100,La Nina,moderate,Uganda,Area total,580.000,0.000
2009,-4.847,2009,1.500,El Nino,strong,Uganda,Output per planted ha,11.573,-16.223
2010,5.474,2010,-1.600,La Nina,strong,Uganda,Output per planted ha,12.354,6.750
2011,-10.411,2011,-1.000,La Nina,moderate,Uganda,Output per planted ha,10.319,-16.473
2012,2.149,2012,-0.600,neutral,,Uganda,Output per planted ha,11.146,8.012
2013,5.970,2013,-0.500,neutral,,Uganda,Output per planted ha,11.000,-1.305
2014,-11.806,2014,1.000,El Nino,moderate,Uganda,Output per planted ha,9.972,-9.350
2015,-14.286,2015,2.300,El Nino,very strong,Uganda,Output per planted ha,10.085,1.140
2017,21.069,2017,-1.100,La Nina,moderate,Uganda,Output per planted ha,12.994,28.846
2018,17.225,2018,0.800,El Nino,weak,Uganda,Output per planted ha,13.099,0.802
2019,-19.757,2019,-0.700,La Nina,weak,Uganda,Output per planted ha,9.777,-25.360
2020,4.545,2020,-1.500,La Nina,strong,Uganda,Output per planted ha,11.839,21.096
2021,-2.385,2021,-1.300,La Nina,moderate,Uganda,Output per planted ha,10.804,-8.748
2022,2.761,2022,-1.100,La Nina,moderate,Uganda,Output per planted ha,11.620,7.552
2023,-4.048,2023,1.400,El Nino,moderate,Uganda,Output per planted ha,11.034,-5.035
2024,-0.070,2024,-1.100,La Nina,moderate,Uganda,Output per planted ha,11.552,4.687
