country,trend_pct,e_same_year,e_lag1,e_total,se_total,n
Algeria,-0.30631455522422535,-0.07167237360797449,0.09860769168284508,0.026935318074870596,0.17254275500722124,20
Argentina,-0.7587991484037521,0.10938940064384439,0.21696190086304543,0.32635130150688985,0.2528557407414052,20
Australia,2.956652119118377,0.11851448920512425,0.0829616715015601,0.20147616070668434,0.12809400969125784,20
Brazil,1.752681513314093,-0.02008445102472941,0.0069284428264951205,-0.013156008198234289,0.03799568334594934,20
Canada,2.1838389430487504,0.10108901999413372,-0.05347084108190748,0.04761817891222624,0.06557161471890757,20
China,21.675702191234386,-0.19721263610366824,-0.5645580500125271,-0.7617706861161954,0.5649194995427828,20
Colombia,3.3993431208910185,-0.08343941525902826,-0.02223072470042233,-0.1056701399594506,0.15126067405472854,20
Egypt,5.681663328714431,6.431686020869076e-05,1.0841258718612943,1.0841901887215029,0.5822541466600254,20
Ethiopia,2.905396788919632,0.05038009337854077,0.05264295505520454,0.10302304843374531,0.08648480760428026,20
India,0.8604466673988095,-0.02486911267874181,-0.1143663142704209,-0.13923542694916272,0.22652568459020475,20
Indonesia,7.726640908398105,-0.37240868885066764,-0.059359505926000936,-0.43176819477666856,0.14608485471699204,20
Japan,0.28328954826025343,-0.06815837056448748,-0.0454930211230431,-0.11365139168753058,0.05348966517525714,20
Jordan,11.363150368857653,-0.36817185952394826,-0.146491143472793,-0.5146630029967413,0.2458001348226357,20
"Korea, South",4.344568081310251,0.1264704664505097,-0.12867361625813759,-0.0022031498076278966,0.0899530836193323,20
Mexico,2.27153761627386,0.13238388154213268,-0.09073681839940012,0.04164706314273256,0.18317658995636427,20
Morocco,2.2171642840497645,0.010043131391031912,0.185889022824966,0.1959321542159979,0.20828025318579596,20
Norway,0.6586959811585474,0.07034686405972147,-0.04614304069077554,0.024203823368945936,0.1016629119300635,20
Philippines,8.666356704899455,-0.1197276452815526,0.09573535506161011,-0.02399229021994248,0.26537256942933596,20
Russia,1.5940793329273668,0.12246301616537335,-0.16787474606573416,-0.04541172990036081,0.15958728700774774,20
Saudi Arabia,4.907688118401228,-0.0616828344346768,0.0792005672096777,0.017517732775000905,0.14331659187347254,20
Switzerland,0.7995690768172211,0.020736600616298215,0.14364003245451626,0.16437663307081446,0.07773029565895945,20
Taiwan,8.92381036419237,0.0381894246852932,-0.20277284219060293,-0.16458341750530975,0.1487028598692024,20
Thailand,4.735159611410375,-0.08636675237829158,-0.16604713588137554,-0.25241388825966715,0.1534423221136324,20
Turkey,11.794925438247478,-0.07471223123686128,-0.08148082764115941,-0.1561930588780207,0.21749556857088026,20
Ukraine,-2.5163515217530534,0.1972826965655537,-0.03889407447895542,0.15838862208659826,0.20841250453272764,20
United States,0.625401574819662,0.05618647137085328,-0.0034313125949182724,0.05275515877593501,0.07114415243063525,20
Vietnam,9.493532523650547,0.09482613440813506,-0.00783229114855726,0.0869938432595778,0.15096588125650856,20
EU-27 + UK,0.24348662663268264,-0.05600662286161466,0.055878843861367496,-0.00012777900024716488,0.14264051954782486,20
