export_month,total,arabicas,colombian_milds,other_milds,brazilian_naturals,robustas,cy,rob_share,rob_share_12m
2018-04,10177.0,6240.0,1077.0,2583.0,2581.0,3936.0,2017,38.67544463004815,37.72173666240932
2018-05,9270.0,5619.0,1079.0,2458.0,2082.0,3651.0,2017,39.385113268608414,37.661783530081074
2018-06,10454.0,6506.0,1028.0,2873.0,2605.0,3948.0,2017,37.76544863210255,37.78326322594729
2018-07,10111.0,6119.0,1177.0,2566.0,2375.0,3992.0,2017,39.48175254673128,37.97283985956877
2018-08,11102.0,6947.0,1109.0,2539.0,3300.0,4155.0,2017,37.42568906503333,37.95913625122409
2018-09,9427.0,6109.0,1181.0,1931.0,2997.0,3317.0,2017,35.18616739153495,37.91658684081197
2018-10,10406.0,6762.0,1085.0,1845.0,3831.0,3644.0,2018,35.01825869690563,37.91875138184885
2018-11,9885.0,6641.0,1374.0,1520.0,3748.0,3244.0,2018,32.81740010116338,37.70007467290023
2018-12,10434.0,7043.0,1421.0,1670.0,3952.0,3391.0,2018,32.49952079739314,37.2420072022566
2019-01,11059.0,6633.0,1312.0,1808.0,3513.0,4426.0,2018,40.02170178135455,37.18004972941348
2019-02,10161.0,6952.0,1388.0,2106.0,3458.0,3209.0,2018,31.581537250270642,36.81354777488504
2019-03,10984.0,6794.0,1324.0,2360.0,3110.0,4190.0,2018,38.14639475600874,36.529521341216494
2019-04,10726.0,6817.0,1105.0,2572.0,3139.0,3909.0,2018,36.44415439119896,36.34604375136068
2019-05,11596.0,7544.0,1147.0,2896.0,3501.0,4051.0,2018,34.93446015867541,35.99350983418418
2019-06,10937.0,7074.0,1234.0,2935.0,2905.0,3863.0,2018,35.32047179299625,35.789415586463555
2019-07,11344.0,6844.0,1247.0,2453.0,3144.0,4500.0,2018,39.66854724964739,35.84151302894714
2019-08,10448.0,6544.0,1290.0,1987.0,3267.0,3904.0,2018,37.36600306278714,35.82848666085851
2019-09,9285.0,6269.0,1081.0,1976.0,3212.0,3016.0,2018,32.482498653742596,35.631949082622874
2019-10,8907.0,6083.0,1310.0,1329.0,3444.0,2824.0,2019,31.705400246996746,35.404640363850326
2019-11,9309.0,5774.0,1286.0,1284.0,3203.0,3536.0,2019,37.98474594478461,35.80078281012861
2019-12,10296.0,6038.0,1513.0,1557.0,2969.0,4258.0,2019,41.355866355866354,36.533602021559034
2020-01,10290.0,6531.0,1171.0,2024.0,3336.0,3759.0,2019,36.53061224489796,36.22297498451116
2020-02,11110.0,6518.0,1215.0,2306.0,2997.0,4592.0,2019,41.332133213321335,37.05282994761722
2020-03,11056.0,6681.0,1019.0,2518.0,3145.0,4375.0,2019,39.57127351664255,37.17918023367171
2020-04,10820.0,6623.0,770.0,2534.0,3319.0,4197.0,2019,38.78927911275416,37.380978962981864
2020-05,10490.0,6430.0,999.0,2611.0,2820.0,4060.0,2019,38.70352716873213,37.72085089949474
2020-06,10565.0,6418.0,1203.0,2653.0,2563.0,4147.0,2019,39.25224798864174,38.063266623628145
2020-07,10612.0,6648.0,1207.0,2239.0,3202.0,3964.0,2019,37.3539389370524,37.854336461343635
2020-08,10044.0,6350.0,1187.0,1999.0,3164.0,3694.0,2019,36.77817602548785,37.80785770132916
2020-09,10162.0,6165.0,953.0,1817.0,3394.0,3997.0,2019,39.33280850226333,38.333023346083245
