cy,arabica,robusta,icip,blend,months,ratio,spread,blend_yoy
1989,89.29222222222222,54.21777777777778,,75.26244444444444,9,1.6469177801459134,35.07444444444444,
1990,87.74916666666667,51.60666666666666,,73.29216666666666,12,1.700345562588813,36.142500000000005,-2.6178764087740447
1991,66.32000000000001,43.48083333333333,,57.184333333333335,12,1.525269754872837,22.839166666666678,-21.977564678353524
1992,66.1225,48.593333333333334,,59.110833333333325,12,1.3607319248182193,17.52916666666667,3.3689297185126366
1993,120.74333333333334,94.0475,,110.065,12,1.2838547896896073,26.69583333333334,86.20106297492003
1994,167.41583333333332,137.62583333333333,,155.49983333333333,12,1.2164564550017862,29.789999999999992,41.280001211405384
1995,121.48333333333333,91.12333333333333,,109.33933333333334,12,1.3331748180122178,30.36,-29.68524082019379
1996,177.12333333333333,76.4825,,136.867,12,2.3158674642347377,100.64083333333333,25.176362272802088
1997,149.1075,81.74666666666667,,122.16316666666665,12,1.8240193280052193,67.36083333333332,-10.743154546627999
1998,105.06666666666666,72.40416666666667,,92.00166666666667,12,1.4511135408873799,32.662499999999994,-24.68952043646543
1999,96.73083333333334,48.85,,77.5785,12,1.9801603548277038,47.880833333333335,-15.677071067553117
2000,65.80583333333334,29.974999999999998,,51.4735,12,2.1953572421462333,35.830833333333345,-33.64978698995211
2001,59.17583333333334,26.8275,,46.2365,12,2.205790078588513,32.348333333333336,-10.174167289964743
2002,64.82416666666667,37.1875,,53.7695,12,1.743170868347339,27.63666666666667,16.29232316459941
2003,73.5,36.36083333333333,,58.64433333333333,12,2.0214058166983704,37.13916666666667,9.066168242839012
2004,111.22416666666668,46.04833333333334,,85.15383333333334,12,2.4153787686850774,65.17583333333334,45.203856013368735
2005,110.86833333333334,61.45583333333334,,91.10333333333334,12,1.8040327064151762,49.4125,6.986767086234136
2006,120.1025,82.7525,,105.16250000000001,12,1.4513458807891002,37.35000000000001,15.432110058175708
2007,142.97166666666666,106.37083333333334,,128.33133333333333,12,1.34408711661248,36.60083333333333,22.03145924957406
2008,135.38333333333333,78.61333333333333,,112.67533333333334,12,1.722142130257802,56.769999999999996,-12.19967064421783
2009,176.40916666666666,73.85000000000001,,135.3855,12,2.388749717896637,102.55916666666666,20.15540224716441
2010,268.7075,107.3275,,204.1555,12,2.5036220912627236,161.38,50.79569082361108
2011,206.71583333333334,102.45666666666666,,165.01216666666667,12,2.017592803461626,104.25916666666667,-19.173293559729387
2012,148.60916666666665,98.08666666666666,,128.40016666666668,12,1.5150802011826277,50.522499999999994,-22.18745486443928
2013,179.39083333333335,95.84249999999999,,145.9715,12,1.8717253132309088,83.54833333333336,13.684821281384618
2014,174.75666666666666,93.22500000000001,136.14083333333335,142.14399999999998,12,1.8745686958076335,81.53166666666665,-2.6220871882525087
2015,157.58833333333334,83.165,121.30416666666667,127.819,12,1.8948876730996613,74.42333333333333,-10.077808419630784
2016,159.58333333333334,103.62083333333334,132.80545454545452,137.19833333333335,12,1.5400699666251156,55.962500000000006,7.337980529759536
2017,134.16583333333332,87.35083333333334,111.5075,115.43983333333334,12,1.5359422253174457,46.81499999999998,-15.859157667124247
2018,128.67583333333334,76.16166666666668,100.45545454545454,107.67016666666666,12,1.6895091581504256,52.51416666666667,-6.73049019763543
2019,147.77583333333334,68.9675,107.24916666666667,116.2525,12,2.142687981053878,78.80833333333334,7.970948312825743
2020,179.05666666666664,80.28083333333333,130.48333333333332,139.54633333333334,12,2.2303787745103123,98.77583333333331,20.037275184046234
2021,264.1475,106.89166666666667,197.905,201.24516666666668,12,2.47117018788493,157.25583333333333,44.21386922861941
2022,212.00166666666667,111.71416666666666,165.49833333333333,171.88666666666666,12,1.8977151510178507,100.28750000000001,-14.588424897989283
2023,227.5975,175.03166666666667,201.70000000000002,206.57116666666664,12,1.3003218465230102,52.56583333333333,20.17870302137066
2024,360.7616666666667,225.6866666666667,310.91636363636366,306.7316666666666,12,1.5985067793105485,135.07500000000002,48.48716382651015
2025,353.57272727272726,185.04272727272726,285.94545454545454,286.1607272727273,11,1.9107626248483152,168.53,-6.706493534720148
