key,lat,lon,elev_m,year,month,rain_mm,tmax_mean_c,tmin_mean_c,n_days
comayagua_lalibertad,14.700005,-87.6,595.0,1986,8,,28.26,20.67,0
comayagua_lalibertad,14.700005,-87.6,595.0,1986,9,,27.63,20.38,0
comayagua_lalibertad,14.700005,-87.6,595.0,1986,10,,26.58,19.91,0
comayagua_lalibertad,14.700005,-87.6,595.0,1986,11,,26.62,19.94,0
comayagua_lalibertad,14.700005,-87.6,595.0,1986,12,,25.99,18.41,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,1,,25.27,16.38,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,2,,28.46,17.34,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,3,,30.53,19.38,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,4,,29.71,19.02,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,5,,30.64,20.73,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,6,,29.92,21.57,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,7,,28.03,21.2,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,8,,28.79,21.26,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,9,,28.22,20.54,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,10,,24.57,19.12,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,11,,25.55,18.65,0
comayagua_lalibertad,14.700005,-87.6,595.0,1987,12,,26.65,18.55,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,1,,25.09,18.06,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,2,,25.9,18.02,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,3,,29.34,18.27,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,4,,32.44,20.66,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,5,,32.75,21.61,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,6,,29.97,21.21,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,7,,29.21,21.25,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,8,,28.58,20.79,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,9,,28.02,20.43,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,10,,25.05,20.01,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,11,,26.1,19.35,0
comayagua_lalibertad,14.700005,-87.6,595.0,1988,12,,23.32,17.76,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,1,,25.2,18.33,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,2,,24.93,16.74,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,3,,28.09,16.98,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,4,,30.91,19.89,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,5,,29.8,20.64,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,6,,30.38,20.85,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,7,,29.4,21.14,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,8,,29.35,20.79,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,9,,27.52,20.53,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,10,,26.03,19.61,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,11,,25.74,19.75,0
comayagua_lalibertad,14.700005,-87.6,595.0,1989,12,,23.92,16.94,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,1,,26.3,18.59,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,2,,27.14,17.8,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,3,,28.29,18.82,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,4,,30.25,20.72,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,5,,31.32,21.13,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,6,,29.01,21.58,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,7,,29.44,21.15,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,8,,28.6,20.93,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,9,,28.68,21.06,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,10,,26.14,19.97,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,11,,23.91,18.97,0
comayagua_lalibertad,14.700005,-87.6,595.0,1990,12,,24.35,18.06,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,1,,26.36,18.12,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,2,,27.02,17.44,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,3,,31.89,18.28,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,4,,33.98,21.19,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,5,,31.53,21.67,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,6,,29.94,21.75,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,7,,29.93,21.56,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,8,,29.66,21.41,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,9,,28.47,20.83,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,10,,26.5,20.17,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,11,,24.38,18.71,0
comayagua_lalibertad,14.700005,-87.6,595.0,1991,12,,24.84,18.87,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,1,,26.44,17.86,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,2,,27.92,17.96,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,3,,30.57,19.52,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,4,,30.31,20.64,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,5,,29.37,20.35,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,6,,30.19,21.74,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,7,,28.58,20.89,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,8,,29.41,21.0,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,9,,28.21,20.71,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,10,,27.17,20.49,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,11,,27.27,19.73,0
comayagua_lalibertad,14.700005,-87.6,595.0,1992,12,,24.81,18.61,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,1,,26.04,18.14,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,2,,27.68,17.83,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,3,,29.31,18.3,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,4,,31.52,20.92,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,5,,30.27,21.2,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,6,,28.72,21.05,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,7,,28.58,21.01,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,8,,27.85,20.57,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,9,,27.7,20.54,0
comayagua_lalibertad,14.700005,-87.6,595.0,1993,10,,26.86,20.06,0
