country,source,indicator,unit,period_type,period,value,source_url,notes
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2019,871380,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2020,856592,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2021,912170,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2022,794404,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2023,843635,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag I=Value imputed by a receiving agency; bulk release 2025-12-23"
Ethiopia,FAOSTAT,area_harvested,ha,calendar_year,2024,862943,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5312; flag I=Value imputed by a receiving agency; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,1998,229980,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag X=Figure from external organization; bulk release 2025-12-23; Unofficial figure"
Ethiopia,FAOSTAT,production,t,calendar_year,1999,217450,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2000,229980,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag X=Figure from external organization; bulk release 2025-12-23; Unofficial figure"
Ethiopia,FAOSTAT,production,t,calendar_year,2001,157155,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2002,160000,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2003,126188,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2004,156170,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2005,171631,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2006,241482,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2007,273400,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2008,260239,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2009,265469,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2010,370569,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2011,442270,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2012,449740,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2013,392006,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag A=Official figure; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2014,467860,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag E=Estimated value; bulk release 2025-12-23"
Ethiopia,FAOSTAT,production,t,calendar_year,2015,501240,https://bulks-faostat.fao.org/production/Production_Crops_Livestock_E_All_Data_(Normalized).zip,"Coffee, green (item 656); FAOSTAT QCL element 5510; flag E=Estimated value; bulk release 2025-12-23"
