country,source,indicator,unit,period_type,period,value,source_url,notes
Indonesia,BPS,area_total,1000_ha,calendar_year,2022,1246.4,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (Perkebunan Rakyat, PR), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.4, PDF p.435 (printed p.391); source Kementan-Ditjenbun as reproduced by BPS"
Indonesia,BPS,area_total,1000_ha,calendar_year,2023,1246.9,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (Perkebunan Rakyat, PR), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.4, PDF p.435 (printed p.391); source Kementan-Ditjenbun as reproduced by BPS"
Indonesia,BPS,area_total,1000_ha,calendar_year,2024,1256.4,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (Perkebunan Rakyat, PR), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.4, PDF p.435 (printed p.391); source Kementan-Ditjenbun as reproduced by BPS"
Indonesia,BPS,area_total,1000_ha,calendar_year,2025,1258.1,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (Perkebunan Rakyat, PR), not national total; planted area (luas areal; TBM/TM/TTM split not given), all coffee (arabica+robusta+liberica); Table 5.3.4, PDF p.435 (printed p.391); source Kementan-Ditjenbun as reproduced by BPS; 2025 = angka sementara (preliminary, *)"
Indonesia,BPS,production,1000_t,calendar_year,2021,5.3,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (PBN+PBS), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.5, PDF p.436 (printed p.392); source BPS"
Indonesia,BPS,production,1000_t,calendar_year,2022,4.0,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (PBN+PBS), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.5, PDF p.436 (printed p.392); source BPS"
Indonesia,BPS,production,1000_t,calendar_year,2023,3.3,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (PBN+PBS), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.5, PDF p.436 (printed p.392); source BPS"
Indonesia,BPS,production,1000_t,calendar_year,2024,3.3,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (PBN+PBS), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.5, PDF p.436 (printed p.392); source BPS"
Indonesia,BPS,production,1000_t,calendar_year,2025,3.6,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: large estates (PBN+PBS), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.5, PDF p.436 (printed p.392); source BPS; 2025 = angka sementara (preliminary, *)"
Indonesia,BPS,production,1000_t,calendar_year,2021,780.9,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (PR), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.6, PDF p.437 (printed p.393); source Kementan-Ditjenbun as reproduced by BPS"
Indonesia,BPS,production,1000_t,calendar_year,2022,771.0,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (PR), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.6, PDF p.437 (printed p.393); source Kementan-Ditjenbun as reproduced by BPS"
Indonesia,BPS,production,1000_t,calendar_year,2023,755.4,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (PR), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.6, PDF p.437 (printed p.393); source Kementan-Ditjenbun as reproduced by BPS"
Indonesia,BPS,production,1000_t,calendar_year,2024,810.0,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (PR), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.6, PDF p.437 (printed p.393); source Kementan-Ditjenbun as reproduced by BPS"
Indonesia,BPS,production,1000_t,calendar_year,2025,829.1,https://webapi.bps.go.id/download.php?f=LzNA+qUhweSXvlzMMC4rGm5DOGsvck9wdTRtc05OcktZYlM1V29nVllBSm53OXNXVG5TSmEyamhuUzljQTAvZWVuZzlmR2JrN1JsbXYySk1pZnVIOWJQTEQrSGRQbnpDbHdYcW9zS1c5SXlLVk9HYWJ6TmYxeFNUNHp3ZkU2cWdoRkZxTUJGREExeXlwVkZKN0JzRHZSaXdRUXFmTGx4UUJqUUErQkRsOElvenluVlZRTmdqR1RaWXh6UVRxOUhaQmVIdjhBTCt2N0pXeDlQTGJsaG1CTjJpQzhoS21rbENUdndmZVJLcnJZYkVDaXVHeDdOanVqNEFDZVZrM3g5QUFRT0JyUGs0OVN0bGttRFQ%3D,"Statistik Indonesia 2026 (Statistical Yearbook of Indonesia 2026, BPS cat. 1101001), SUBSET ONLY: smallholders (PR), not national total; production as dry coffee beans (biji kering = green bean basis), all coffee; Table 5.3.6, PDF p.437 (printed p.393); source Kementan-Ditjenbun as reproduced by BPS; 2025 = angka sementara (preliminary, *)"
