town,year,month,rain_mm,grid_lat,grid_lon,source
comayagua,1987,1,30.3,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,2,0.0,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,3,67.88,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,4,8.94,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,5,69.13,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,6,223.26,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,7,227.84,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,8,130.48,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,9,196.84,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,10,111.34,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,11,87.35,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1987,12,69.4,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,1,28.62,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,2,39.21,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,3,49.93,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,4,61.93,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,5,140.86,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,6,249.02,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,7,193.9,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,8,267.7,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,9,262.86,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,10,273.99,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,11,10.54,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1988,12,112.63,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,1,30.22,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,2,28.01,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,3,18.82,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,4,66.26,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,5,101.4,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,6,160.36,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,7,143.51,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,8,166.67,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,9,252.27,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,10,125.23,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,11,61.19,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1989,12,69.81,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,1,14.12,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,2,28.49,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,3,31.23,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,4,49.25,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,5,137.11,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,6,186.9,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,7,192.61,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,8,175.76,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,9,193.33,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,10,98.25,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,11,170.9,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1990,12,40.81,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,1,28.82,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,2,11.43,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,3,16.79,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,4,28.11,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,5,131.54,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,6,181.03,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,7,130.19,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,8,112.08,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,9,200.2,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,10,124.59,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,11,50.38,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1991,12,45.22,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,1,17.98,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,2,16.53,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,3,20.12,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,4,45.05,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,5,98.8,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,6,308.57,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,7,179.8,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,8,135.4,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,9,215.99,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,10,114.02,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,11,25.15,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1992,12,31.7,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,1,10.95,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,2,12.94,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,3,37.1,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,4,29.78,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,5,179.41,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,6,209.68,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,7,148.47,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,8,142.2,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,9,234.02,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,10,157.52,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,11,45.95,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1993,12,22.65,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,1,62.32,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,2,1.45,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,3,22.75,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,4,19.02,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
comayagua,1994,5,132.14,14.5,272.5,GPCC Monitoring Product v2020 1deg (PSL)
