town,date,tmin_c,grid_lat,grid_lon
ocotepeque,2005-02-08,11.616,14.25,270.75
copan,2005-02-08,9.087,14.75,271.25
comayagua,2005-02-09,15.351,14.25,272.25
ocotepeque,2005-02-09,15.347,14.25,270.75
copan,2005-02-09,14.0,14.75,271.25
comayagua,2005-02-10,15.94,14.25,272.25
ocotepeque,2005-02-10,14.697,14.25,270.75
copan,2005-02-10,13.707,14.75,271.25
comayagua,2005-02-11,16.786,14.25,272.25
ocotepeque,2005-02-11,16.116,14.25,270.75
copan,2005-02-11,14.744,14.75,271.25
comayagua,2005-02-12,17.029,14.25,272.25
ocotepeque,2005-02-12,16.537,14.25,270.75
copan,2005-02-12,15.377,14.75,271.25
comayagua,2005-02-13,15.42,14.25,272.25
ocotepeque,2005-02-13,15.111,14.25,270.75
copan,2005-02-13,12.276,14.75,271.25
comayagua,2005-02-14,9.727,14.25,272.25
ocotepeque,2005-02-14,9.536,14.25,270.75
copan,2005-02-14,8.899,14.75,271.25
comayagua,2005-02-15,15.187,14.25,272.25
ocotepeque,2005-02-15,13.559,14.25,270.75
copan,2005-02-15,12.678,14.75,271.25
comayagua,2005-02-16,16.119,14.25,272.25
ocotepeque,2005-02-16,16.032,14.25,270.75
copan,2005-02-16,15.025,14.75,271.25
comayagua,2005-02-17,17.835,14.25,272.25
ocotepeque,2005-02-17,18.204,14.25,270.75
copan,2005-02-17,16.883,14.75,271.25
comayagua,2005-02-18,16.879,14.25,272.25
ocotepeque,2005-02-18,20.509,14.25,270.75
copan,2005-02-18,9.698,14.75,271.25
comayagua,2005-02-19,16.017,14.25,272.25
ocotepeque,2005-02-19,16.629,14.25,270.75
copan,2005-02-19,9.222,14.75,271.25
comayagua,2005-02-20,16.165,14.25,272.25
ocotepeque,2005-02-20,17.609,14.25,270.75
copan,2005-02-20,14.578,14.75,271.25
comayagua,2005-02-21,16.974,14.25,272.25
ocotepeque,2005-02-21,17.562,14.25,270.75
copan,2005-02-21,13.689,14.75,271.25
comayagua,2005-02-22,15.928,14.25,272.25
ocotepeque,2005-02-22,17.409,14.25,270.75
copan,2005-02-22,13.259,14.75,271.25
comayagua,2005-02-23,17.407,14.25,272.25
ocotepeque,2005-02-23,16.888,14.25,270.75
copan,2005-02-23,11.753,14.75,271.25
comayagua,2005-02-24,15.357,14.25,272.25
ocotepeque,2005-02-24,21.862,14.25,270.75
copan,2005-02-24,16.13,14.75,271.25
comayagua,2005-02-25,15.982,14.25,272.25
ocotepeque,2005-02-25,18.723,14.25,270.75
copan,2005-02-25,16.336,14.75,271.25
comayagua,2005-02-26,25.904,14.25,272.25
ocotepeque,2005-02-26,20.065,14.25,270.75
copan,2005-02-26,17.25,14.75,271.25
comayagua,2005-02-27,15.435,14.25,272.25
ocotepeque,2005-02-27,17.606,14.25,270.75
copan,2005-02-27,15.717,14.75,271.25
comayagua,2005-02-28,16.263,14.25,272.25
ocotepeque,2005-02-28,19.962,14.25,270.75
copan,2005-02-28,21.721,14.75,271.25
comayagua,2005-03-01,20.386,14.25,272.25
ocotepeque,2005-03-01,20.641,14.25,270.75
copan,2005-03-01,19.603,14.75,271.25
comayagua,2005-03-02,18.148,14.25,272.25
ocotepeque,2005-03-02,22.116,14.25,270.75
copan,2005-03-02,17.621,14.75,271.25
comayagua,2005-03-03,21.543,14.25,272.25
ocotepeque,2005-03-03,22.838,14.25,270.75
copan,2005-03-03,18.457,14.75,271.25
comayagua,2005-03-04,19.835,14.25,272.25
ocotepeque,2005-03-04,20.059,14.25,270.75
copan,2005-03-04,18.726,14.75,271.25
comayagua,2005-03-05,17.008,14.25,272.25
ocotepeque,2005-03-05,20.301,14.25,270.75
copan,2005-03-05,15.576,14.75,271.25
comayagua,2005-03-06,21.364,14.25,272.25
ocotepeque,2005-03-06,20.017,14.25,270.75
copan,2005-03-06,15.935,14.75,271.25
comayagua,2005-03-07,15.032,14.25,272.25
ocotepeque,2005-03-07,19.062,14.25,270.75
copan,2005-03-07,15.097,14.75,271.25
comayagua,2005-03-08,18.53,14.25,272.25
