town,year,month,tmean_c,grid_lat,grid_lon
ocotepeque,2022,7,22.013,14.25,270.75
copan,2022,7,21.107,14.75,271.25
comayagua,2022,8,20.373,14.25,272.25
ocotepeque,2022,8,21.998,14.25,270.75
copan,2022,8,21.029,14.75,271.25
comayagua,2022,9,20.102,14.25,272.25
ocotepeque,2022,9,21.665,14.25,270.75
copan,2022,9,20.821,14.75,271.25
comayagua,2022,10,19.835,14.25,272.25
ocotepeque,2022,10,21.835,14.25,270.75
copan,2022,10,20.616,14.75,271.25
comayagua,2022,11,19.992,14.25,272.25
ocotepeque,2022,11,21.711,14.25,270.75
copan,2022,11,20.461,14.75,271.25
comayagua,2022,12,18.971,14.25,272.25
ocotepeque,2022,12,20.44,14.25,270.75
copan,2022,12,19.19,14.75,271.25
comayagua,2023,1,18.661,14.25,272.25
ocotepeque,2023,1,20.598,14.25,270.75
copan,2023,1,19.192,14.75,271.25
comayagua,2023,2,20.04,14.25,272.25
ocotepeque,2023,2,21.665,14.25,270.75
copan,2023,2,20.447,14.75,271.25
comayagua,2023,3,21.079,14.25,272.25
ocotepeque,2023,3,23.016,14.25,270.75
copan,2023,3,21.548,14.75,271.25
comayagua,2023,4,21.224,14.25,272.25
ocotepeque,2023,4,22.881,14.25,270.75
copan,2023,4,21.599,14.75,271.25
comayagua,2023,5,21.88,14.25,272.25
ocotepeque,2023,5,23.474,14.25,270.75
copan,2023,5,22.411,14.75,271.25
comayagua,2023,6,21.996,14.25,272.25
ocotepeque,2023,6,23.59,14.25,270.75
copan,2023,6,22.777,14.75,271.25
comayagua,2023,7,21.795,14.25,272.25
ocotepeque,2023,7,23.545,14.25,270.75
copan,2023,7,22.513,14.75,271.25
comayagua,2023,8,22.005,14.25,272.25
ocotepeque,2023,8,23.723,14.25,270.75
copan,2023,8,22.692,14.75,271.25
comayagua,2023,9,21.598,14.25,272.25
ocotepeque,2023,9,23.567,14.25,270.75
copan,2023,9,22.535,14.75,271.25
comayagua,2023,10,21.123,14.25,272.25
ocotepeque,2023,10,23.06,14.25,270.75
copan,2023,10,21.873,14.75,271.25
comayagua,2023,11,20.41,14.25,272.25
ocotepeque,2023,11,22.441,14.25,270.75
copan,2023,11,21.035,14.75,271.25
comayagua,2023,12,19.68,14.25,272.25
ocotepeque,2023,12,21.399,14.25,270.75
copan,2023,12,19.993,14.75,271.25
comayagua,2024,1,19.862,14.25,272.25
ocotepeque,2024,1,21.831,14.25,270.75
copan,2024,1,20.393,14.75,271.25
comayagua,2024,2,17.607,14.25,272.25
ocotepeque,2024,2,20.138,14.25,270.75
copan,2024,2,18.607,14.75,271.25
comayagua,2024,3,22.034,14.25,272.25
ocotepeque,2024,3,24.159,14.25,270.75
copan,2024,3,22.722,14.75,271.25
comayagua,2024,4,23.093,14.25,272.25
ocotepeque,2024,4,25.249,14.25,270.75
copan,2024,4,23.78,14.75,271.25
comayagua,2024,5,23.393,14.25,272.25
ocotepeque,2024,5,25.55,14.25,270.75
copan,2024,5,24.362,14.75,271.25
comayagua,2024,6,21.584,14.25,272.25
ocotepeque,2024,6,23.459,14.25,270.75
copan,2024,6,22.553,14.75,271.25
comayagua,2024,7,21.53,14.25,272.25
ocotepeque,2024,7,23.373,14.25,270.75
copan,2024,7,22.311,14.75,271.25
comayagua,2024,8,21.791,14.25,272.25
ocotepeque,2024,8,23.666,14.25,270.75
copan,2024,8,22.603,14.75,271.25
comayagua,2024,9,21.059,14.25,272.25
ocotepeque,2024,9,23.153,14.25,270.75
copan,2024,9,22.184,14.75,271.25
comayagua,2024,10,20.192,14.25,272.25
ocotepeque,2024,10,22.286,14.25,270.75
copan,2024,10,21.098,14.75,271.25
comayagua,2024,11,20.027,14.25,272.25
ocotepeque,2024,11,22.12,14.25,270.75
copan,2024,11,20.745,14.75,271.25
comayagua,2024,12,18.914,14.25,272.25
ocotepeque,2024,12,20.945,14.25,270.75
copan,2024,12,19.539,14.75,271.25
comayagua,2025,1,18.792,14.25,272.25
ocotepeque,2025,1,20.167,14.25,270.75
copan,2025,1,19.011,14.75,271.25
comayagua,2025,2,22.174,14.25,272.25
ocotepeque,2025,2,24.174,14.25,270.75
copan,2025,2,22.549,14.75,271.25
comayagua,2025,3,23.188,14.25,272.25
ocotepeque,2025,3,25.063,14.25,270.75
copan,2025,3,23.5,14.75,271.25
comayagua,2025,4,22.453,14.25,272.25
ocotepeque,2025,4,24.047,14.25,270.75
copan,2025,4,22.703,14.75,271.25
comayagua,2025,5,22.525,14.25,272.25
ocotepeque,2025,5,24.65,14.25,270.75
copan,2025,5,23.431,14.75,271.25
comayagua,2025,6,22.237,14.25,272.25
ocotepeque,2025,6,24.112,14.25,270.75
copan,2025,6,23.081,14.75,271.25
comayagua,2025,7,21.8,14.25,272.25
ocotepeque,2025,7,23.55,14.25,270.75
copan,2025,7,22.519,14.75,271.25
comayagua,2025,8,21.658,14.25,272.25
ocotepeque,2025,8,23.471,14.25,270.75
copan,2025,8,22.408,14.75,271.25
comayagua,2025,9,21.108,14.25,272.25
ocotepeque,2025,9,23.046,14.25,270.75
copan,2025,9,22.046,14.75,271.25
comayagua,2025,10,20.461,14.25,272.25
ocotepeque,2025,10,22.429,14.25,270.75
copan,2025,10,21.242,14.75,271.25
comayagua,2025,11,19.856,14.25,272.25
ocotepeque,2025,11,21.949,14.25,270.75
copan,2025,11,20.481,14.75,271.25
comayagua,2025,12,20.23,14.25,272.25
ocotepeque,2025,12,22.042,14.25,270.75
copan,2025,12,20.605,14.75,271.25
comayagua,2026,1,18.972,14.25,272.25
ocotepeque,2026,1,20.753,14.25,270.75
copan,2026,1,19.222,14.75,271.25
comayagua,2026,2,19.888,14.25,272.25
ocotepeque,2026,2,21.232,14.25,270.75
copan,2026,2,19.794,14.75,271.25
comayagua,2026,3,20.742,14.25,272.25
ocotepeque,2026,3,22.648,14.25,270.75
copan,2026,3,21.148,14.75,271.25
comayagua,2026,4,21.395,14.25,272.25
ocotepeque,2026,4,23.583,14.25,270.75
copan,2026,4,22.114,14.75,271.25
comayagua,2026,5,22.803,14.25,272.25
ocotepeque,2026,5,24.865,14.25,270.75
copan,2026,5,23.615,14.75,271.25
comayagua,2026,6,22.027,14.25,272.25
ocotepeque,2026,6,23.87,14.25,270.75
copan,2026,6,22.902,14.75,271.25
comayagua,2026,7,22.176,14.25,272.25
ocotepeque,2026,7,23.926,14.25,270.75
copan,2026,7,22.833,14.75,271.25
comayagua,2026,8,22.764,14.25,272.25
ocotepeque,2026,8,24.576,14.25,270.75
copan,2026,8,23.451,14.75,271.25
