town,year,month,tmean_c,grid_lat,grid_lon
comayagua,2008,7,21.56,14.25,272.25
ocotepeque,2008,7,23.25,14.25,270.75
copan,2008,7,22.19,14.75,271.25
comayagua,2008,8,22.25,14.25,272.25
ocotepeque,2008,8,24.15,14.25,270.75
copan,2008,8,23.0,14.75,271.25
comayagua,2008,9,21.9,14.25,272.25
ocotepeque,2008,9,23.94,14.25,270.75
copan,2008,9,22.82,14.75,271.25
comayagua,2008,10,20.4,14.25,272.25
ocotepeque,2008,10,22.48,14.25,270.75
copan,2008,10,21.07,14.75,271.25
comayagua,2008,11,19.78,14.25,272.25
ocotepeque,2008,11,22.06,14.25,270.75
copan,2008,11,20.37,14.75,271.25
comayagua,2008,12,20.35,14.25,272.25
ocotepeque,2008,12,21.98,14.25,270.75
copan,2008,12,20.51,14.75,271.25
comayagua,2009,1,20.54,14.25,272.25
ocotepeque,2009,1,22.31,14.25,270.75
copan,2009,1,20.68,14.75,271.25
comayagua,2009,2,20.64,14.25,272.25
ocotepeque,2009,2,22.58,14.25,270.75
copan,2009,2,20.88,14.75,271.25
comayagua,2009,3,21.25,14.25,272.25
ocotepeque,2009,3,23.25,14.25,270.75
copan,2009,3,21.6,14.75,271.25
comayagua,2009,4,22.38,14.25,272.25
ocotepeque,2009,4,24.57,14.25,270.75
copan,2009,4,23.04,14.75,271.25
comayagua,2009,5,22.53,14.25,272.25
ocotepeque,2009,5,24.63,14.25,270.75
copan,2009,5,23.29,14.75,271.25
comayagua,2009,6,22.34,14.25,272.25
ocotepeque,2009,6,24.4,14.25,270.75
copan,2009,6,23.27,14.75,271.25
comayagua,2009,7,22.76,14.25,272.25
ocotepeque,2009,7,24.58,14.25,270.75
copan,2009,7,23.41,14.75,271.25
comayagua,2009,8,22.45,14.25,272.25
ocotepeque,2009,8,24.44,14.25,270.75
copan,2009,8,23.18,14.75,271.25
comayagua,2009,9,22.67,14.25,272.25
ocotepeque,2009,9,24.7,14.25,270.75
copan,2009,9,23.53,14.75,271.25
comayagua,2009,10,22.14,14.25,272.25
ocotepeque,2009,10,24.21,14.25,270.75
copan,2009,10,22.86,14.75,271.25
comayagua,2009,11,20.49,14.25,272.25
ocotepeque,2009,11,22.84,14.25,270.75
copan,2009,11,21.22,14.75,271.25
comayagua,2009,12,21.15,14.25,272.25
ocotepeque,2009,12,23.04,14.25,270.75
copan,2009,12,21.53,14.75,271.25
comayagua,2010,1,20.23,14.25,272.25
ocotepeque,2010,1,22.16,14.25,270.75
copan,2010,1,20.41,14.75,271.25
comayagua,2010,2,21.5,14.25,272.25
ocotepeque,2010,2,23.25,14.25,270.75
copan,2010,2,21.58,14.75,271.25
comayagua,2010,3,22.06,14.25,272.25
ocotepeque,2010,3,24.11,14.25,270.75
copan,2010,3,22.34,14.75,271.25
comayagua,2010,4,23.23,14.25,272.25
ocotepeque,2010,4,25.3,14.25,270.75
copan,2010,4,23.77,14.75,271.25
comayagua,2010,5,23.5,14.25,272.25
ocotepeque,2010,5,25.51,14.25,270.75
copan,2010,5,24.21,14.75,271.25
comayagua,2010,6,22.33,14.25,272.25
ocotepeque,2010,6,24.23,14.25,270.75
copan,2010,6,23.24,14.75,271.25
comayagua,2010,7,22.31,14.25,272.25
ocotepeque,2010,7,24.08,14.25,270.75
copan,2010,7,22.99,14.75,271.25
comayagua,2010,8,22.23,14.25,272.25
ocotepeque,2010,8,24.12,14.25,270.75
copan,2010,8,22.98,14.75,271.25
comayagua,2010,9,21.71,14.25,272.25
ocotepeque,2010,9,23.71,14.25,270.75
copan,2010,9,22.66,14.75,271.25
comayagua,2010,10,20.54,14.25,272.25
ocotepeque,2010,10,22.72,14.25,270.75
copan,2010,10,21.29,14.75,271.25
comayagua,2010,11,20.44,14.25,272.25
ocotepeque,2010,11,22.62,14.25,270.75
copan,2010,11,21.02,14.75,271.25
comayagua,2010,12,19.18,14.25,272.25
ocotepeque,2010,12,20.99,14.25,270.75
copan,2010,12,19.38,14.75,271.25
comayagua,2011,1,20.771,14.25,272.25
ocotepeque,2011,1,22.427,14.25,270.75
copan,2011,1,20.865,14.75,271.25
comayagua,2011,2,21.625,14.25,272.25
ocotepeque,2011,2,23.469,14.25,270.75
copan,2011,2,21.875,14.75,271.25
comayagua,2011,3,21.583,14.25,272.25
ocotepeque,2011,3,23.521,14.25,270.75
copan,2011,3,21.958,14.75,271.25
comayagua,2011,4,22.675,14.25,272.25
ocotepeque,2011,4,24.769,14.25,270.75
copan,2011,4,23.269,14.75,271.25
comayagua,2011,5,22.913,14.25,272.25
ocotepeque,2011,5,25.069,14.25,270.75
copan,2011,5,23.725,14.75,271.25
comayagua,2011,6,22.433,14.25,272.25
ocotepeque,2011,6,24.402,14.25,270.75
copan,2011,6,23.308,14.75,271.25
comayagua,2011,7,21.904,14.25,272.25
ocotepeque,2011,7,23.404,14.25,270.75
copan,2011,7,22.435,14.75,271.25
comayagua,2011,8,22.418,14.25,272.25
ocotepeque,2011,8,24.324,14.25,270.75
copan,2011,8,23.168,14.75,271.25
comayagua,2011,9,21.954,14.25,272.25
ocotepeque,2011,9,23.923,14.25,270.75
copan,2011,9,22.798,14.75,271.25
comayagua,2011,10,20.388,14.25,272.25
ocotepeque,2011,10,22.138,14.25,270.75
copan,2011,10,20.919,14.75,271.25
comayagua,2011,11,20.534,14.25,272.25
ocotepeque,2011,11,22.659,14.25,270.75
copan,2011,11,21.096,14.75,271.25
comayagua,2011,12,20.183,14.25,272.25
ocotepeque,2011,12,21.839,14.25,270.75
copan,2011,12,20.402,14.75,271.25
comayagua,2012,1,20.968,14.25,272.25
ocotepeque,2012,1,23.0,14.25,270.75
copan,2012,1,21.312,14.75,271.25
comayagua,2012,2,21.357,14.25,272.25
ocotepeque,2012,2,23.138,14.25,270.75
copan,2012,2,21.575,14.75,271.25
comayagua,2012,3,22.325,14.25,272.25
ocotepeque,2012,3,24.356,14.25,270.75
copan,2012,3,22.731,14.75,271.25
comayagua,2012,4,22.312,14.25,272.25
ocotepeque,2012,4,24.468,14.25,270.75
copan,2012,4,22.906,14.75,271.25
comayagua,2012,5,22.158,14.25,272.25
ocotepeque,2012,5,24.283,14.25,270.75
copan,2012,5,22.939,14.75,271.25
comayagua,2012,6,22.308,14.25,272.25
ocotepeque,2012,6,24.089,14.25,270.75
copan,2012,6,23.058,14.75,271.25
comayagua,2012,7,22.524,14.25,272.25
ocotepeque,2012,7,24.274,14.25,270.75
copan,2012,7,23.087,14.75,271.25
comayagua,2012,8,22.213,14.25,272.25
ocotepeque,2012,8,24.088,14.25,270.75
copan,2012,8,22.9,14.75,271.25
comayagua,2012,9,21.876,14.25,272.25
ocotepeque,2012,9,23.939,14.25,270.75
copan,2012,9,22.782,14.75,271.25
comayagua,2012,10,21.159,14.25,272.25
ocotepeque,2012,10,23.159,14.25,270.75
copan,2012,10,21.815,14.75,271.25
comayagua,2012,11,20.255,14.25,272.25
ocotepeque,2012,11,22.63,14.25,270.75
copan,2012,11,20.88,14.75,271.25
comayagua,2012,12,21.045,14.25,272.25
ocotepeque,2012,12,22.795,14.25,270.75
copan,2012,12,21.264,14.75,271.25
comayagua,2013,1,21.25,14.25,272.25
ocotepeque,2013,1,23.156,14.25,270.75
copan,2013,1,21.5,14.75,271.25
comayagua,2013,2,21.267,14.25,272.25
ocotepeque,2013,2,23.111,14.25,270.75
copan,2013,2,21.58,14.75,271.25
comayagua,2013,3,21.558,14.25,272.25
ocotepeque,2013,3,23.495,14.25,270.75
copan,2013,3,21.777,14.75,271.25
comayagua,2013,4,23.29,14.25,272.25
ocotepeque,2013,4,25.353,14.25,270.75
copan,2013,4,23.79,14.75,271.25
comayagua,2013,5,22.618,14.25,272.25
ocotepeque,2013,5,24.618,14.25,270.75
copan,2013,5,23.275,14.75,271.25
comayagua,2013,6,22.245,14.25,272.25
ocotepeque,2013,6,24.214,14.25,270.75
copan,2013,6,23.058,14.75,271.25
comayagua,2013,7,22.495,14.25,272.25
ocotepeque,2013,7,24.182,14.25,270.75
copan,2013,7,23.026,14.75,271.25
comayagua,2013,8,22.275,14.25,272.25
ocotepeque,2013,8,23.807,14.25,270.75
copan,2013,8,22.713,14.75,271.25
comayagua,2013,9,21.681,14.25,272.25
ocotepeque,2013,9,23.619,14.25,270.75
copan,2013,9,22.525,14.75,271.25
comayagua,2013,10,21.861,14.25,272.25
ocotepeque,2013,10,23.799,14.25,270.75
copan,2013,10,22.518,14.75,271.25
comayagua,2013,11,20.982,14.25,272.25
ocotepeque,2013,11,23.045,14.25,270.75
copan,2013,11,21.514,14.75,271.25
comayagua,2013,12,21.021,14.25,272.25
ocotepeque,2013,12,22.677,14.25,270.75
copan,2013,12,21.209,14.75,271.25
comayagua,2014,1,18.246,14.25,272.25
ocotepeque,2014,1,19.84,14.25,270.75
copan,2014,1,18.559,14.75,271.25
comayagua,2014,2,21.093,14.25,272.25
ocotepeque,2014,2,22.968,14.25,270.75
copan,2014,2,21.375,14.75,271.25
comayagua,2014,3,22.209,14.25,272.25
ocotepeque,2014,3,24.116,14.25,270.75
copan,2014,3,22.584,14.75,271.25
comayagua,2014,4,22.793,14.25,272.25
ocotepeque,2014,4,24.731,14.25,270.75
copan,2014,4,23.262,14.75,271.25
comayagua,2014,5,20.921,14.25,272.25
ocotepeque,2014,5,22.796,14.25,270.75
copan,2014,5,21.577,14.75,271.25
comayagua,2014,6,22.118,14.25,272.25
ocotepeque,2014,6,23.868,14.25,270.75
copan,2014,6,22.836,14.75,271.25
comayagua,2014,7,21.936,14.25,272.25
ocotepeque,2014,7,23.561,14.25,270.75
copan,2014,7,22.498,14.75,271.25
comayagua,2014,8,22.267,14.25,272.25
ocotepeque,2014,8,24.11,14.25,270.75
copan,2014,8,22.954,14.75,271.25
comayagua,2014,9,20.278,14.25,272.25
ocotepeque,2014,9,22.215,14.25,270.75
copan,2014,9,21.184,14.75,271.25
comayagua,2014,10,20.135,14.25,272.25
ocotepeque,2014,10,22.01,14.25,270.75
copan,2014,10,20.791,14.75,271.25
comayagua,2014,11,19.865,14.25,272.25
ocotepeque,2014,11,21.396,14.25,270.75
copan,2014,11,20.021,14.75,271.25
comayagua,2014,12,19.505,14.25,272.25
ocotepeque,2014,12,20.817,14.25,270.75
copan,2014,12,19.505,14.75,271.25
comayagua,2015,1,19.83,14.25,272.25
ocotepeque,2015,1,21.205,14.25,270.75
copan,2015,1,19.799,14.75,271.25
comayagua,2015,2,19.63,14.25,272.25
ocotepeque,2015,2,21.255,14.25,270.75
copan,2015,2,19.755,14.75,271.25
comayagua,2015,3,21.106,14.25,272.25
