town,date,tmax_c,grid_lat,grid_lon
ocotepeque,2005-02-08,27.088,14.25,270.75
copan,2005-02-08,23.264,14.75,271.25
comayagua,2005-02-09,27.875,14.25,272.25
ocotepeque,2005-02-09,27.363,14.25,270.75
copan,2005-02-09,23.487,14.75,271.25
comayagua,2005-02-10,26.015,14.25,272.25
ocotepeque,2005-02-10,26.042,14.25,270.75
copan,2005-02-10,22.524,14.75,271.25
comayagua,2005-02-11,27.216,14.25,272.25
ocotepeque,2005-02-11,26.836,14.25,270.75
copan,2005-02-11,22.535,14.75,271.25
comayagua,2005-02-12,26.212,14.25,272.25
ocotepeque,2005-02-12,25.886,14.25,270.75
copan,2005-02-12,22.511,14.75,271.25
comayagua,2005-02-13,29.516,14.25,272.25
ocotepeque,2005-02-13,27.847,14.25,270.75
copan,2005-02-13,23.335,14.75,271.25
comayagua,2005-02-14,30.698,14.25,272.25
ocotepeque,2005-02-14,30.238,14.25,270.75
copan,2005-02-14,26.791,14.75,271.25
comayagua,2005-02-15,28.096,14.25,272.25
ocotepeque,2005-02-15,27.847,14.25,270.75
copan,2005-02-15,23.988,14.75,271.25
comayagua,2005-02-16,29.146,14.25,272.25
ocotepeque,2005-02-16,29.013,14.25,270.75
copan,2005-02-16,25.384,14.75,271.25
comayagua,2005-02-17,27.578,14.25,272.25
ocotepeque,2005-02-17,28.414,14.25,270.75
copan,2005-02-17,25.12,14.75,271.25
comayagua,2005-02-18,27.291,14.25,272.25
ocotepeque,2005-02-18,29.96,14.25,270.75
copan,2005-02-18,23.416,14.75,271.25
comayagua,2005-02-19,27.696,14.25,272.25
ocotepeque,2005-02-19,29.693,14.25,270.75
copan,2005-02-19,23.788,14.75,271.25
comayagua,2005-02-20,28.52,14.25,272.25
ocotepeque,2005-02-20,30.18,14.25,270.75
copan,2005-02-20,24.965,14.75,271.25
comayagua,2005-02-21,29.566,14.25,272.25
ocotepeque,2005-02-21,30.529,14.25,270.75
copan,2005-02-21,25.619,14.75,271.25
comayagua,2005-02-22,28.328,14.25,272.25
ocotepeque,2005-02-22,27.982,14.25,270.75
copan,2005-02-22,24.912,14.75,271.25
comayagua,2005-02-23,23.609,14.25,272.25
ocotepeque,2005-02-23,31.166,14.25,270.75
copan,2005-02-23,26.806,14.75,271.25
comayagua,2005-02-24,31.023,14.25,272.25
ocotepeque,2005-02-24,31.132,14.25,270.75
copan,2005-02-24,28.889,14.75,271.25
comayagua,2005-02-25,30.361,14.25,272.25
ocotepeque,2005-02-25,31.574,14.25,270.75
copan,2005-02-25,29.099,14.75,271.25
comayagua,2005-02-26,29.787,14.25,272.25
ocotepeque,2005-02-26,30.037,14.25,270.75
copan,2005-02-26,27.847,14.75,271.25
comayagua,2005-02-27,31.69,14.25,272.25
ocotepeque,2005-02-27,32.98,14.25,270.75
copan,2005-02-27,31.14,14.75,271.25
comayagua,2005-02-28,30.739,14.25,272.25
ocotepeque,2005-02-28,31.393,14.25,270.75
copan,2005-02-28,26.99,14.75,271.25
comayagua,2005-03-01,27.003,14.25,272.25
ocotepeque,2005-03-01,31.646,14.25,270.75
copan,2005-03-01,27.648,14.75,271.25
comayagua,2005-03-02,29.375,14.25,272.25
ocotepeque,2005-03-02,27.109,14.25,270.75
copan,2005-03-02,26.087,14.75,271.25
comayagua,2005-03-03,28.769,14.25,272.25
ocotepeque,2005-03-03,29.876,14.25,270.75
copan,2005-03-03,28.038,14.75,271.25
comayagua,2005-03-04,29.39,14.25,272.25
ocotepeque,2005-03-04,31.395,14.25,270.75
copan,2005-03-04,23.557,14.75,271.25
comayagua,2005-03-05,28.305,14.25,272.25
ocotepeque,2005-03-05,28.819,14.25,270.75
copan,2005-03-05,21.183,14.75,271.25
comayagua,2005-03-06,29.66,14.25,272.25
ocotepeque,2005-03-06,32.077,14.25,270.75
copan,2005-03-06,27.479,14.75,271.25
comayagua,2005-03-07,31.24,14.25,272.25
ocotepeque,2005-03-07,32.132,14.25,270.75
copan,2005-03-07,29.24,14.75,271.25
comayagua,2005-03-08,30.571,14.25,272.25
ocotepeque,2005-03-08,32.574,14.25,270.75
copan,2005-03-08,31.432,14.75,271.25
