town,date,precip_mm,grid_lat,grid_lon
ocotepeque,2005-02-08,0.0,14.25,270.75
copan,2005-02-08,0.0,14.75,271.25
comayagua,2005-02-09,0.0,14.25,272.25
ocotepeque,2005-02-09,0.0,14.25,270.75
copan,2005-02-09,0.0,14.75,271.25
comayagua,2005-02-10,0.0,14.25,272.25
ocotepeque,2005-02-10,0.0,14.25,270.75
copan,2005-02-10,0.0,14.75,271.25
comayagua,2005-02-11,0.0,14.25,272.25
ocotepeque,2005-02-11,0.0,14.25,270.75
copan,2005-02-11,0.0,14.75,271.25
comayagua,2005-02-12,0.041,14.25,272.25
ocotepeque,2005-02-12,1.65,14.25,270.75
copan,2005-02-12,1.819,14.75,271.25
comayagua,2005-02-13,0.0,14.25,272.25
ocotepeque,2005-02-13,0.0,14.25,270.75
copan,2005-02-13,0.0,14.75,271.25
comayagua,2005-02-14,0.0,14.25,272.25
ocotepeque,2005-02-14,0.0,14.25,270.75
copan,2005-02-14,0.0,14.75,271.25
comayagua,2005-02-15,0.0,14.25,272.25
ocotepeque,2005-02-15,0.0,14.25,270.75
copan,2005-02-15,0.0,14.75,271.25
comayagua,2005-02-16,0.0,14.25,272.25
ocotepeque,2005-02-16,0.0,14.25,270.75
copan,2005-02-16,0.0,14.75,271.25
comayagua,2005-02-17,0.0,14.25,272.25
ocotepeque,2005-02-17,0.0,14.25,270.75
copan,2005-02-17,0.0,14.75,271.25
comayagua,2005-02-18,0.0,14.25,272.25
ocotepeque,2005-02-18,0.0,14.25,270.75
copan,2005-02-18,0.0,14.75,271.25
comayagua,2005-02-19,0.0,14.25,272.25
ocotepeque,2005-02-19,0.0,14.25,270.75
copan,2005-02-19,0.0,14.75,271.25
comayagua,2005-02-20,0.0,14.25,272.25
ocotepeque,2005-02-20,0.0,14.25,270.75
copan,2005-02-20,0.0,14.75,271.25
comayagua,2005-02-21,0.0,14.25,272.25
ocotepeque,2005-02-21,0.0,14.25,270.75
copan,2005-02-21,0.0,14.75,271.25
comayagua,2005-02-22,0.0,14.25,272.25
ocotepeque,2005-02-22,0.0,14.25,270.75
copan,2005-02-22,0.0,14.75,271.25
comayagua,2005-02-23,0.0,14.25,272.25
ocotepeque,2005-02-23,0.0,14.25,270.75
copan,2005-02-23,0.0,14.75,271.25
comayagua,2005-02-24,0.0,14.25,272.25
ocotepeque,2005-02-24,0.0,14.25,270.75
copan,2005-02-24,0.0,14.75,271.25
comayagua,2005-02-25,0.0,14.25,272.25
ocotepeque,2005-02-25,0.0,14.25,270.75
copan,2005-02-25,0.0,14.75,271.25
comayagua,2005-02-26,0.0,14.25,272.25
ocotepeque,2005-02-26,0.0,14.25,270.75
copan,2005-02-26,0.0,14.75,271.25
comayagua,2005-02-27,0.0,14.25,272.25
ocotepeque,2005-02-27,0.0,14.25,270.75
copan,2005-02-27,0.0,14.75,271.25
comayagua,2005-02-28,0.0,14.25,272.25
ocotepeque,2005-02-28,0.0,14.25,270.75
copan,2005-02-28,0.0,14.75,271.25
comayagua,2005-03-01,0.0,14.25,272.25
ocotepeque,2005-03-01,0.0,14.25,270.75
copan,2005-03-01,0.0,14.75,271.25
comayagua,2005-03-02,9.99,14.25,272.25
ocotepeque,2005-03-02,0.786,14.25,270.75
copan,2005-03-02,3.179,14.75,271.25
comayagua,2005-03-03,0.064,14.25,272.25
ocotepeque,2005-03-03,0.0,14.25,270.75
copan,2005-03-03,0.0,14.75,271.25
comayagua,2005-03-04,0.02,14.25,272.25
ocotepeque,2005-03-04,0.0,14.25,270.75
copan,2005-03-04,0.023,14.75,271.25
