date,element,value,mflag,qflag,sflag
19810707,PRCP,0.4,,,I
19810708,PRCP,6.7,,,I
19810709,PRCP,0.4,,,I
19810710,PRCP,0.0,,,I
19810711,PRCP,2.0,,,I
19810712,PRCP,40.9,,,I
19810713,PRCP,3.0,,,I
19810714,PRCP,0.1,,,I
19810715,PRCP,0.0,,,I
19810716,PRCP,3.1,,,I
19810717,PRCP,4.2,,,I
19810718,PRCP,1.3,,,I
19810719,PRCP,5.8,,,I
19810720,PRCP,0.0,,,I
19810721,PRCP,0.8,,,I
19810722,PRCP,0.0,,,I
19810723,PRCP,0.0,,,I
19810724,PRCP,8.6,,,I
19810725,PRCP,0.3,,,I
19810726,PRCP,0.8,,,I
19810727,PRCP,1.3,,,I
19810728,PRCP,10.4,,,I
19810729,PRCP,9.8,,,I
19810730,PRCP,27.3,,,I
19810731,PRCP,10.2,,,I
19810801,PRCP,1.5,,,I
19810802,PRCP,0.0,,,I
19810803,PRCP,29.3,,,I
19810804,PRCP,0.0,,,I
19810805,PRCP,0.3,,,I
19810806,PRCP,8.4,,,I
19810807,PRCP,3.1,,,I
19810808,PRCP,5.3,,,I
19810809,PRCP,11.4,,,I
19810810,PRCP,0.2,,,I
19810811,PRCP,0.3,,,I
19810812,PRCP,25.2,,,I
19810813,PRCP,0.1,,,I
19810814,PRCP,3.5,,,I
19810815,PRCP,5.1,,,I
19810816,PRCP,65.0,,,I
19810817,PRCP,0.0,,,I
19810818,PRCP,1.6,,,I
19810819,PRCP,1.2,,,I
19810820,PRCP,0.0,,,I
19810821,PRCP,0.8,,,I
19810822,PRCP,8.9,,,I
19810823,PRCP,25.8,,,I
19810824,PRCP,13.2,,,I
19810825,PRCP,1.4,,,I
19810826,PRCP,0.6,,,I
19810827,PRCP,6.3,,,I
19810828,PRCP,0.0,,,I
19810829,PRCP,0.0,,,I
19810830,PRCP,0.0,,,I
19810831,PRCP,0.0,,,I
19810901,PRCP,0.0,,,I
19810902,PRCP,6.4,,,I
19810903,PRCP,2.6,,,I
19810904,PRCP,8.3,,,I
19810905,PRCP,0.0,,,I
19810906,PRCP,0.6,,,I
19810907,PRCP,0.0,,,I
19810908,PRCP,8.0,,,I
19810909,PRCP,0.3,,,I
19810910,PRCP,0.8,,,I
19810911,PRCP,3.8,,,I
19810912,PRCP,0.5,,,I
19810913,PRCP,3.6,,,I
19810914,PRCP,7.7,,,I
19810915,PRCP,30.8,,,I
19810916,PRCP,1.0,,,I
19810917,PRCP,2.4,,,I
19810918,PRCP,1.2,,,I
19810919,PRCP,0.0,,,I
19810920,PRCP,0.0,,,I
19810921,PRCP,0.0,,,I
19810922,PRCP,0.0,,,I
19810923,PRCP,8.2,,,I
19810924,PRCP,7.3,,,I
19810925,PRCP,1.2,,,I
19810926,PRCP,1.8,,,I
19810927,PRCP,0.0,,,I
19810928,PRCP,0.0,,,I
19810929,PRCP,0.0,,,I
19810930,PRCP,0.0,,,I
19811001,PRCP,1.8,,,I
19811002,PRCP,32.7,,,I
19811003,PRCP,0.0,,,I
19811004,PRCP,11.3,,,I
19811005,PRCP,0.8,,,I
19811006,PRCP,0.0,,,I
19811007,PRCP,0.5,,,I
19811008,PRCP,1.3,,,I
19811009,PRCP,3.0,,,I
19811010,PRCP,2.3,,,I
19811011,PRCP,8.3,,,I
19811012,PRCP,0.4,,,I
19811013,PRCP,0.4,,,I
19811014,PRCP,0.3,,,I
19811015,PRCP,0.0,,,I
19811016,PRCP,0.9,,,I
19811017,PRCP,0.5,,,I
19811018,PRCP,0.0,,,I
19811019,PRCP,2.6,,,I
19811020,PRCP,7.0,,,I
19811021,PRCP,4.2,,,I
19811022,PRCP,1.2,,,I
19811023,PRCP,6.5,,,I
19811024,PRCP,3.9,,,I
19811025,PRCP,8.9,,,I
19811026,PRCP,0.7,,,I
19811027,PRCP,6.6,,,I
19811028,PRCP,0.1,,,I
19811029,PRCP,0.0,,,I
19811030,PRCP,0.0,,,I
19811031,PRCP,7.9,,,I
19811101,PRCP,0.0,,,I
19811102,PRCP,0.0,,,I
19811103,PRCP,0.5,,,I
19811104,PRCP,0.0,,,I
19811105,PRCP,0.0,,,I
19811106,PRCP,0.0,,,I
19811107,PRCP,0.0,,,I
19811108,PRCP,0.0,,,I
19811109,PRCP,0.0,,,I
19811110,PRCP,0.0,,,I
19811111,PRCP,0.0,,,I
19811112,PRCP,0.0,,,I
19811113,PRCP,0.0,,,I
19811114,PRCP,0.0,,,I
19811115,PRCP,0.0,,,I
19811116,PRCP,0.0,,,I
19811117,PRCP,0.0,,,I
19811118,PRCP,0.0,,,I
19811119,PRCP,0.0,,,I
19811120,PRCP,1.2,,,I
19811121,PRCP,0.0,,,I
19811122,PRCP,0.0,,,I
19811123,PRCP,0.0,,,I
19811124,PRCP,0.0,,,I
19811125,PRCP,0.0,,,I
19811126,PRCP,2.4,,,I
19811127,PRCP,15.6,,,I
19811128,PRCP,6.2,,,I
19811129,PRCP,0.0,,,I
19811130,PRCP,1.8,,,I
19811201,PRCP,0.0,,,I
19811202,PRCP,0.0,,,I
19811203,PRCP,2.3,,,I
19811204,PRCP,3.3,,,I
19811205,PRCP,2.9,,,I
19811206,PRCP,0.0,,,I
19811207,PRCP,0.0,,,I
19811208,PRCP,0.0,,,I
19811209,PRCP,0.2,,,I
19811210,PRCP,0.0,,,I
19811211,PRCP,0.0,,,I
19811212,PRCP,0.0,,,I
19811213,PRCP,0.0,,,I
19811214,PRCP,0.0,,,I
19811215,PRCP,0.0,,,I
19811216,PRCP,0.0,,,I
19811217,PRCP,1.4,,,I
19811218,PRCP,4.2,,,I
19811219,PRCP,1.5,,,I
19811220,PRCP,0.9,,,I
19811221,PRCP,0.0,,,I
19811222,PRCP,1.6,,,I
19811223,PRCP,0.4,,,I
19811224,PRCP,7.6,,,I
19811225,PRCP,0.3,,,I
19811226,PRCP,0.0,,,I
19811227,PRCP,0.8,,,I
19811228,PRCP,0.4,,,I
19811229,PRCP,3.0,,,I
19811230,PRCP,0.0,,,I
19811231,PRCP,0.0,,,I
19820101,PRCP,0.0,,,I
19820102,PRCP,0.0,,,I
19820103,PRCP,3.3,,,I
19820104,PRCP,0.0,,,I
19820105,PRCP,0.5,,,I
19820106,PRCP,2.1,,,I
19820107,PRCP,6.7,,,I
19820108,PRCP,0.0,,,I
19820109,PRCP,0.0,,,I
19820110,PRCP,0.0,,,I
19820111,PRCP,0.0,,,I
19820112,PRCP,0.0,,,I
19820113,PRCP,0.0,,,I
19820114,PRCP,0.0,,,I
19820115,PRCP,0.0,,,I
19820116,PRCP,0.0,,,I
19820117,PRCP,1.6,,,I
19820118,PRCP,1.5,,,I
19820119,PRCP,1.0,,,I
19820120,PRCP,5.7,,,I
19820121,PRCP,1.7,,,I
19820122,PRCP,0.0,,,I
19820123,PRCP,0.0,,,I
19820124,PRCP,0.0,,,I
19820125,PRCP,0.0,,,I
19820126,PRCP,0.0,,,I
19820127,PRCP,0.0,,,I
19820128,PRCP,0.5,,,I
19820129,PRCP,0.4,,,I
19820130,PRCP,0.0,,,I
19820131,PRCP,5.0,,,I
19820201,PRCP,0.0,,,I
19820202,PRCP,22.9,,,I
19820203,PRCP,1.0,,,I
19820204,PRCP,13.3,,,I
19820205,PRCP,0.0,,,I
19820206,PRCP,0.0,,,I
19820207,PRCP,1.7,,,I
19820208,PRCP,5.2,,,I
19820209,PRCP,0.0,,,I
